abbreviation,description
Km,"Michaelis constant (константа михаэлиса): показатель, отражающий концентрацию субстрата, при которой скорость ферментативной реакции достигает половины максимального значения"
LAmB,Liposomal amphotericin b (липосомальный амфотерицин в)
LBQ657,"Sacubitrilat (сакубитрилат, активный метаболит сакубитрила)"
LC-MS/MS,Liquid chromatography with tandem mass spectrometry (жидкостная хроматография с тандемной масс-спектрометрией)
LCX,Left circumflex artery (левая периферическая коронарная артерия)
LD50,"Median lethal dose (медианная летальная доза): доза вещества, вызывающая гибель 50% экспериментальной популяции"
LDH,Lactate dehydrogenase (лактатдегидрогеназа)
LDV,Ledipasvir (ледипасвир)
LLNA,Local lymph node assay (оценка локальных лимфатических узлов)
LLOQ,Lower limit of quantitation (нижний предел количественного определения)
LNC,Lymph node cell proliferative response (пролиферативная реакция клеток лимфатических узлов)
LOAEL,"Lowest observed adverse effect level (наименьшая доза, оказывающая видимый нежелательный эффект)"
LOCF,Last observation carried forward (использование последнего доступного наблюдения)
LOEL,"Lowest observed effect level (наименьшая доза, оказывающая видимый эффект)"
LPV,Lopinavir (лопинавир)
LPV/r,Lopinavir/ritonavir (лопинавир/ритонавир)
Lck,Lymphocyte-specific protein tyrosine kinase (лимфоцит-специфическая протеинтирозинкиназа)
M,Males (самцы)
M,Mean (среднее арифметическое)
MACDP,Metropolitan atlanta congenital defects program (программа мониторинга врожденных пороков развития города атланта)
MACE,Major adverse cardiovascular event (тяжелые неблагоприятные сердечно-сосудистые события)
MAO-B,Monoamine oxidase b (моноаминоксидаза b)
MAPK,Mitogen-activated protein kinase (митоген-активируемая протеинкиназа)
MAT,"Medication-assisted treatment (поддерживающая терапия при расстройстве, связанном с употреблением опиоидов)"
MATE,Multi-antimicrobial extrusion protein (белок экструзии лекарственных препаратов и токсинов)
MATE1,Multidrug and toxin extrusion protein 1 (белок множественной резистентности и выведения токсинов 1)
MCH,Mean corpuscular hemoglobin (среднее содержание гемоглобина в эритроците)
MCP,Monocyte chemotactic protein (моноцитарный хемотаксический белок)
MCP-1,Monocyte chemotactic protein-1 (моноцитарный хемотаксический белок-1)
MD,Mid-dose (средняя доза)
MDA,Malondialdehyde (малоновый диальдегид)
MDCK,Madin-darby canine kidney (клетки мадин-дарби почек собак)
MDR,Multidrug resistance (множественная лекарственная устойчивость)
MDRD,Modification of diet in renal disease (модификация диеты при заболеваниях почек)
MDZ,Midazolam (мидазолам)
MEAN,Среднее арифметическое
MED,Minimum effective dose (минимальная эффективная доза)
MEK,Mitogen-activated protein kinase kinase (киназа митоген-активируемой протеинкиназы)
MEN2,Multiple endocrine neoplasia type 2 (множественная эндокринная неоплазия 2-го типа)
MER,Proto-oncogene tyrosine-protein kinase mer (протоонкогенная тирозин-протеинкиназа mer)
MF,"Marketed form (вариант препарата, реализуемый на рынке)"
MF,Matrix factor (матричный фактор)
MLR,Mixed lymphocyte reaction (реакция смешивания лимфоцитов)
MMAD,Mass-median aerodynamic diameter (масс-медианный аэродинамический диаметр)
MMC,Mitomycin c (митомицин c)
MMF,Mycophenolate mofetil (микофенолата мофетил)
MMRM,Mixed-effects model for repeated measures (модель смешанных эффектов для многократных измерений)
MNC,Mononuclear cells (мононуклеарные клетки)
MNLD,"Maximum non-lethal dose (максимальная нелетальная доза): наивысшая доза вещества, не вызывающая гибель исследуемой популяции"
MPA,Mycophenolate sodium (микофенолат натрия)
MPE,Mean photo effect (средний фотоэффект)
MR,Modified release (модифицированное высвобождение)
MRHD,Maximum recommended human dose (максимальная рекомендуемая доза для человека)
MRP,"Multidrug resistance-associated protein (протеин, связанный с множественной лекарственной устойчивостью)"
MRT,Mean residence time (среднее время пребывания в организме молекулы лекарственного вещества)
MRT(0-24),Mean residence time (0-24) (среднее время удерживания в течение 24 ч)
MSDS,Material safety data sheet (паспорт безопасности)
MSKCC,Memorial sloan-kettering cancer center (мемориальный онкологический центр им. слоуна-кеттеринга)
MTD,Maximum tolerated dose (максимальная переносимая доза)
MVC,Maraviroc (маравирок)
MedDRA,Medical dictionary for regulatory activities (медицинский словарь терминов для регуляторной деятельности)
N.c.,Not calculated (не рассчитано)
NAC,N-ацетилцистеин
NADPH,Никотинамиддинуклеотидфосфат
NAPSI,Индекс тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI100,100% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI50,50% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI75,75% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NCI,National cancer institute (национальный институт рака)
NCI CTCAE,Общие терминологические критерии нежелательных явлений национального института онкологии сша (national cancer institute common terminology criteria for adverse events)
NCI-ODWG,"Национальный институт онкологии, рабочая группа по нарушению функции органа (national cancer institute classifications for hepatic dysfunction)"
NEP,Неприлизин
NF-kB (RANK),Рецептор-активатор ядерного транскрипционного фактора
NF-κB,"Транскрипционный фактор (ядерный фактор «каппа-би»),   nuclear factor kappa-light-chain-enhancer of activated b cells"
NFV,Нелфинавир
NHE,Na+/h+-обменники
NHS,Normal human serum (нормальная человеческая сыворотка)
NIH,"National institutes of health, национальный институт здоровья"
NK,Natural killer (естественные киллеры)
NK2,Рецептор тахикининов типа 2
NO,Оксид азота
NOAEL,"No observed adverse effect level (максимальная доза, не оказывающая видимого нежелательного эффекта)"
NOEC,"Концентрация, не вызывающая видимых отрицательных эффектов"
NOEL,"No observed effect level (максимальная доза, не приводящая к развитию видимого эффекта)"
NPH,Человеческий инсулин нейтрал протамин хагедорн
NPR,"Natriuretic peptide receptor, натрийуретический рецептор"
NPY,Нейропептид y
NR,Нейтральный красный
NRAS,"Онкоген n-ras, кодирующий мембранный белок, мутации в семействе белков ras"
NRS,Числовая шкала оценки зуда
NRVM,Миоциты желудочков новорожденных крыс
NS3/4A,Неструктурный белок 4а
NS5A,Неструктурный белок 5а
NSAA,Нестероидный антиандогенный препарат (nonsteroidal antiandrogen)
NSTEMI,"Non-st-elevation myocardial infarction, инфаркт миокарда без подъема сегмента st"
NT-proBNP,N-terminal pro-brain natriuretic peptide (n-терминальный фрагмент предшественника мозгового натрийуретического пептида)
NTDT,"Non-transfusion-dependent thalassemias, талассемии, не зависящие от переливания крови"
NTEL,"No toxic effect level, уровень препарата без токсического эффекта"
NVP,Невирапин
NYHA,New york heart association (нью-йоркская кардиологическая ассоциация)
NZW,Белые новозеландские (кролики) (new zealand white)
Numb-associated kinase,Члены семейства нечувствительных киназ
O2,Молекулярный кислород
OARAC,Консультативный совет сша по исследованиям в области спид (the office of aids research advisory council)
OAT,Organic anion transporter (транспортер органических анионов)
OAT1,Транспортер органических анионов 1
OATP,Organic anion transporting polypeptide (полипептидный переносчик органических анионов)
"OATP1B1, OATP1B3","Ингибиторы полипептидов 1b1 и 1b3, переносящих органические анионы"
OCT,Organic cation transporter (транспортер органических катионов)
OR,Отношение шансов (odds ratio)
OS,Общая выживаемость
OVA,Овальбумин
Oct-02,Переносчик органических катионов 2 (organic cation transporter 2 )
P-gp,P-glycoprotein (p-гликопротеин)
PAI-1,Ингибитор активатора плазминогена
PAQLQ,Опросник оценки качества жизни - детская версия опросника aqlq
PARP,Поли (адф-рибоза)-полимераза
PASI,Улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PASI75,75% улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PAWP,Давление заклинивания в легочной артерии (pulmonary arterial wedge pressure)
PBMC,Peripheral blood mononuclear cells (мононуклеарные клетки периферической крови)
PBPK,Physiologically based pharmacokinetic modeling (физиологически обоснованное фармакокинетическое моделирование)
PBT,"Стойкие, биоаккумулятивные токсичные вещества"
PCA,Пассивная кожная анафилаксии (passive cutaneous anaphylaxis)
PCSA,Возможно клинически значимое отклонение
PCWG2,Рабочая группа 2 по клиническим исследованиям рака предстательной железы (prostate cancer clinical trials working group 2)
PD,Фармакодинамика
PD-1,Белок запрограммированной гибели клеток-1 (programmed cell death protein-1)
PD-L1,Лиганд запрограммированной смерти-1 (programmed death ligand-1)
PDGFR,Platelet-derived growth factor receptor (рецептор тромбоцитарного фактора роста)
PEP,Первичная конечная точка оценки эффективности и переносимости
PFS,Progression-free survival (беспрогрессивная выживаемость)
PGA,Общая оценка врачом (physician’s global assessment)
PHD,"Prolyl hydroxylase domain (enzyme), (белок) пролилгидроксилазного домена"
PHE,Фенилэфрин
PI3K,Фосфоинозитол-3-киназа (phosphoinositide 3-kinase)
PIB,Пибрентасвир
PIF,Коэффициент фотораздражения
PK,Фармакокинетика
PKB,"Protein kinase b, протеинкиназа тип в"
PND,Поснатальный день
PP,Per protocol (популяция по протоколу)
PPAR-γ,"Рецепторы, активируемые пероксисомными пролифераторами"
PQ,Интервал между волной r и интервал qrs сердечного ритма на электрокардиограмме
PR,Рецепторы прогестерона (progesterone receptor)
PRL,Пролактин (prolactin)
PSADT,Время удвоения простатспецифического антигена
PSS,"Phenotypic susceptibility score, оценка фенотипической восприимчивости"
PT,Preferred term (термин предпочтительного употребления)
PTEN,"Фосфатаза с двойной субстратной специфичностью, продукт гена (phosphatase and tensin homolog deleted on chromosome)"
PTLD,Посттрансплантационный лимфопролиферативный синдром
PTX3,Pentraxin-3 (пентраксин-3)
PVR,Легочное сосудистое сопротивление (pulmonary vascular resistance)
PWID,"Субъекты, употребляющих инъекционные наркотики"
PXR,Pregnane x receptor (прегнан-x-рецептор)
PYE,Пациенто-лет воздействия
PgR,Прогестероновый рецептор (progesterone receptor)
PgR+,Позитивная по рецептору прогестерона [опухоль]
Pgp,P-glycoprotein (p-гликопротеин)
Ph,"Philadelphia chromosome, «филадельфийская» хромосома"
Ph+,"Клетки, содержащие филадельфийскую хромосому"
PtGA,Шкала общей оценки пациентом заболевания (patient global assessment of disease)
Ptch1,12-сегментный трансмембранный рецептор patched
QD,Ежедневно
QLQ,Опросник для оценки качества жизни (quality of life questionnaire)
QRS,"Желудочковый комплекс, который регистрируется во время возбуждения желудочков сердца на электрокардиограмме"
QT,"Qrs to t wave interval (расстояние от начала комплекса qrs до конца зубца t): интервал на электрокардиограмме, отражающий время реполяризации желудочков сердца"
QTcB,"Ширина интервала qt, скорректированная по формуле базетта"
QTcF,"Corrected qt interval (qt-интервал, скорректированный по формуле fredericia)"
QWBA,Количественная авторадиография всего тела
RAL,Ралтегравир
RAP,Популяция анализа резистентности
RAS,Малый g-белок (rat sarcoma virus)
RAV,"Resistance-associated variant (вариант, ассоциированный с резистентностью)"
RBC,Эритроцит
RBV,Рибавирин
RDW,Ширина распределения эритроцитов
RECIST,Response evaluation criteria in solid tumors (критерии оценки ответа при солидных опухолях)
RET,Rearranged during transfection
RF,Ревматоидный фактор
RGS2,Регулятор передачи сигналов g-белка 2
RIF,Рифампин
ROS,"Reactive oxygen species, активные формы кислорода"
ROS1,"Протоонкогенная тирозин-протеинкиназа ros, кодируется геном ros1"
RPV,Рилпивирин
RQ,Дыхательный коэффициент
RR,"Relative Risk (относительный риск): показатель, характеризующий вероятность наступления события в исследуемой группе по сравнению с контрольной"
RR,"Risk Ratio (отношение рисков): показатель, отражающий соотношение частоты событий в исследуемой группе к группе сравнения"
RSD,"Residual standard deviation, остаточное стандартное отклонение"
RSV,Респираторно-синцитиальный вирус
RT,Reverse transcriptase (обратная транскриптаза)
RTV,Ритонавир
"RTV, r",Ритонавир
RW,Реакция вассермана
Rac,accumulation ratio (коэффициент накопления)
Ras,"Retrovirus-associated sarcoma gene, ген, связанный с саркомой, вызываемой ретровирусом у крыс"
RdRp,Рнк-зависимая рнк полимераза
SALT,Шкала оценки степени тяжести алопеции
SARS-CoV-2,"Новый коронавирус, вызвавший пандемию covid-19"
SCAR,"Severe cutaneous adverse reaction, серьезные кожные нежелательные реакции"
SCF,Фактор стволовых клеток (stem cell factor)
SCID,Тяжелый комбинированный иммунодефицит
SCORE,10-летний абсолютный риск фатальныхсердечно-сосудистых осложнений для лиц в возрасте 40-65 лет (systematic coronary risk evaluation)
SD,Sprague dawley (спрег-доули): линия лабораторных крыс-альбиносов
SD,Standard deviation (стандартное отклонение): показатель разброса значений относительно среднего
SDAI,Упрощенный индекс активности болезни
SDF,Фактор стромальных клеток (stromal cell-derived factor)
SE,Стандартная ошибка
SEGA,Subependymal giant cell astrocytoma (субэпендимальная гигантоклеточная астроцитома)
SEM,"Standard error of mean (стандартная ошибка среднего): показатель, отражающий точность оценки среднего значения в выборке"
SF-36,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов (short form 36 item)"
SF-36v2,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов версия 2 (short form item 36 version 2)"
SGLT-2,Sodium-glucose cotransporter-2 (натрий-глюкозный котранспортер 2-го типа)
SGLT1,Sodium-glucose cotransporter-1 (натрий-глюкозный котранспортер 1-го типа)
SGLT2,Sodium-glucose cotransporter-2 (натрий-глюкозный котранспортер 2-го типа)
SGRQ,Анкета госпиталя святого георга для оценки дыхательной функции (saint george’s respiratory questionnaire)
SJS,Синдром стивенса-джонсона
SLD,Сумма наибольших диаметров
SMO,7-сегментый трансмембранный белок smoothend
SMQ,Стандартизованный запрос по терминам meddra (standardized meddra query)
SNP,Однонуклеотидный полиморфизм
SOC,System organ class (системно-органный класс)
SOD,Супероксиддисмутаза
SOF,Софосбувир
SQV,Саквинавир
SQV/r,Саквинавир/ ритонавир
SSC,Подсчет импульсов в твердой фазе (solid scintillation counting)
STAT,Signal transducer and activator of transcription (передатчик сигнала и активатор транскрипции)
STEMI,"St-elevation myocardial infarction, инфаркт миокарда с подъемом сегмента st"
STZ,Стрептозотоцин
SUCRA,Поверхность под кривой совокупного ранжирования (surface under the cumulative ranking)
SVR12,Устойчивый вирусологический ответ через 12 недель после прекращения лечения
SYE,Пациенто-лет применения препарата
Src,Протоонкогенная протеинтирозинкиназа
T-20,Энфувиртид
T/C,Тест/контроль
T1/2,"Half-life (период полувыведения): время, за которое концентрация вещества в плазме крови уменьшается на 50%"
T1/2β,Терминальный период полувыведения
TAC,Такролимус
TAF,Tenofovir alafenamide fumarate (тенофовира алафенамида фумарат)
TBDR,Реестр врожденных дефектов техаса (texas birth defects registry)
TBF,Тканевой кровоток
TC50,Средняя токсическая концентрация
TDAR,Первичный t-клеточный иммунный ответ
TDF,Tenofovir disoproxil fumarate (тенофовира дизопроксил фумарат)
TDR,Трансмуральная дисперсия реполяризации (transmural dispersion of repolarisation)
TE-PRS,"Пациенты, ранее получавшие лечение"
TEAE,"Нежелательные явления, возникшие во время лечения, нежелательные явления, отсутствовавшие до начала лечения, или уже имеющиеся явления, интенсивность или частота которых ухудшаются после лечения"
TEL,"Translocated ets (e26 transformation-specific) leukemia, транскрипционный фактор трансформации e26, связанный с развитием лейкемии"
TERT,"Теломераза обратная транскриптаза, ген, кодирующий белок (telomerase reverse transcriptase)"
TFPI,"Tissue factor pathway inhibitor, ингибитор пути тканевого фактора"
TFV,Тенофовир
TGA,Австралийская администрация лекарственных средств
TGF,"Transforming growth factor, трансформирующий фактор роста"
TGFβ1,Трансформирующий фактор роста бета (transforming growth factor beta)
TGI,Tumor growth inhibition (ингибирование роста опухоли)
TIMP,Ингибитор металлопротеиназы
TKI,Tyrosine kinase inhibitor (ингибитор тирозинкиназы)
TLOVR,Время до потери вирусологического ответа
TLR,Toll-подобные рецепторы
TLR4,Толл-подобный рецептор 4
TN,"Пациенты, ранее не получавшие лечения"
TNF,Tumor necrosis factor (фактор некроза опухоли)
TNF-α,Фактор некроза опухоли-α (tumour necrosis factor-α)
TPGS,Токоферилполиэтиленгликольсукцинат
TPO,Тромбопоэтин (thrombopoietin)
TPO-R,Рецептор тромбопоэтина (thrombopoietin receptor)
TRKB,"Киназа рецептора тропомиозина b, кодируется геном ntrk2 (tropomyosin receptor kinase)"
TSC,"Tuberosis sclerosis (complex), туберозный склероз"
TTF,Время до неэффективности лечения
TTP,Время до прогрессирования заболевания (time to progression)
TYR03,"Протоонкогенная тирозин-протеинкиназа tyro3, кодируется геном tyro3"
TZD,Тиазолидиндионы
Tg,Трансгенный (transgenic)
Th17,Т-хелперные клетки типа 17
Tlag,Время задержки абсорбции
Tlast,Время отбора последнего биообразца
Tmax,"Time to maximum concentration (время достижения максимальной концентрации): время, за которое достигается максимальная концентрация лекарственного вещества в плазме крови"
Tp-Te,Время от пика до конца зубца
TyK2,Тирозинкиназа 2 (tyrosine kinase 2)
UACR,Соотношение альбумина и креатинина мочи
UDP-GT,Уридин-5'-дифосфоглюкуронозилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase)
UDPGA,Уридиндифосфат глюкуроновой кислоты
UGE,Экскреция глюкозы с мочой (urinary glucose excretion)
UGT,Uridine diphosphate glucuronosyltransferase (уридиндифосфат-глюкуронилтрансфераза)
UGT1A1,Uridine diphosphate glucuronosyltransferase 1a1 (уридиндифосфат-глюкуронилтрансфераза 1a1)
ULN,Верхняя граница нормы согласно данным испытательной лаборатории
URT,"Unique recombinant forms, уникальные рекомбинантные формы"
UV-LLNA,"Ultra violet local lymph node assay, метод локальных лимфатических узлов при ультрафиолетовом облучении"
VCAM-1,Молекула адгезии сосудистого эндотелия-1
VEGF,Vascular endothelial growth factor (фактор роста эндотелия сосудов)
VEGFR,Vascular endothelial growth factor receptor (рецептор фактора роста эндотелия сосудов)
Vd,"Volume of Distribution (объем распределения): Гипотетический объем, в котором лекарственное вещество распределяется с концентрацией, эквивалентной концентрации в плазме"
Vd/F,"Apparent Volume of Distribution (кажущийся объем распределения): Гипотетический объем, в котором лекарственное вещество распределяется после внесосудистого введения"
V/F,"Apparent Volume of Distribution (кажущийся объем распределения): Гипотетический объем, в котором лекарственное вещество распределяется после внесосудистого введения"
Vc/F,Apparent Central Volume of Distribution (кажущийся объем распределения в центральном компартменте): Объем распределения лекарственного вещества в центральном компартменте после внесосудистого введения
Vp/F,Apparent Peripheral Volume of Distribution (кажущийся объем распределения в периферическом компартменте): Объем распределения лекарственного вещества в периферическом компартменте после внесосудистого введения
Vdss,Steady-State Volume of Distribution (объем распределения в равновесном состоянии): Объем распределения вещества в организме при достижении равновесного состояния
Vss,Steady-State Volume of Distribution (объем распределения в равновесном состоянии): Объем распределения вещества в организме при достижении равновесного состояния
VSS,Steady-State Volume of Distribution (объем распределения в равновесном состоянии): Объем распределения вещества в организме при достижении равновесного состояния
"Vd,ss/F",Apparent Volume of Distribution at Steady State (кажущийся объем распределения в равновесном состоянии): Объем распределения лекарственного вещества в организме в равновесном состоянии после внесосудистого введения
Vz / Fss,"Apparent Volume of Distribution Associated with Terminal Phase at Steady State (кажущийся объем распределения, связанный с терминальной фазой, в равновесном состоянии): Объем распределения в равновесном состоянии в терминальной фазе после внесосудистого введения"
Vz/F,"Apparent Volume of Distribution Associated with Terminal Phase (кажущийся объем распределения, связанный с терминальной фазой): Объем распределения, связанный с терминальной фазой после внесосудистого введения"
Vs.,Против
WCAW,Well-Controlled Asthma Week (неделя хорошо контролируемой астмы)
WH,Wistar Hannover (крысы линии Wistar Hannover)
WHO,World Health Organization (Всемирная организация здравоохранения)
WMD,Weighted Mean Difference (средневзвешенное различие)
WPAI-UC,Work Productivity and Activity Impairment (опросник нарушения трудоспособности и повседневной деятельности)
WT,Wild Type (дикий тип)
WU,Wood Units (единицы Вуда)
ZDF,Zucker Diabetic Fatty Rat (крысы с диабетом и ожирением Цукера)
ZDV,Zidovudine (зидовудин)
ZF,Zucker Fatty Rat (тучные крысы Цукера)
a-SMA,Alpha-Smooth Muscle Actin (а-гладкомышечный актин)
c-Kit,Tyrosine-Protein Kinase KIT (тирозинкиназа KIT)
c-Met,MET Receptor Tyrosine Kinase (тирозинкиназа MET)
ddI,Didanosine (диданозин)
dp/dt,Скорость нарастания давления в левом желудочке в ранней фазе систолы
eGFR,Estimated Glomerular Filtration Rate (рассчитанная скорость клубочковой фильтрации)
eNOS,Endothelial Nitric Oxide Synthase (эндотелиальная синтаза оксида азота)
e’,Максимальная скорость подъема основания сердца в раннюю диастолу
fu,"Fraction Unbound (несвязанная фракция): доля лекарственного вещества в плазме, не связанная с белками"
fumic,"Fraction Unbound in Microsomes (фракция, не связанная в микросомах): Доля лекарственного вещества, не связанная с белками в микросомальной фракции"
gCV,Geometric Coefficient of Variation (геометрический коэффициент вариации)
hBMNC,Human Bone Marrow Mononuclear Cells (мононуклеарные клетки костного мозга человека)
hCES,Human Recombinant Carboxylesterases (рекомбинантные человеческие ферменты-карбоксилэстеразы)
hERG,Human Ether-à-go-go-Related Gene (ген специфических калиевых каналов сердца человека)
hOAT,Human Organic Anion Transporters (органические переносчики анионов человека)
hOAT1,Human Organic Anion Transporter Type 1 (транспортер органических анионов человека первого типа)
hOAT3,Human Organic Anion Transporter Type 3 (транспортер органических анионов человека третьего типа)
hPASMC,Human Pulmonary Artery Smooth Muscle Cells (клетки гладкой мускулатуры легочной артерии человека)
ka,Absorption Rate Constant (константа скорости всасывания первого порядка)
mRSS,Modified Rodnan Skin Score (кожный индекс по Роднану)
mTOR,Mammalian Target of Rapamycin (мишень рапамицина у млекопитающих)
mTSS,Modified Total Sharp Score (модифицированная оценка шарпа)
n,Число наблюдений
n-3 ПНЖК,Омега-3 полиненасыщенные жирные кислоты
pEGFR,Phosphorylated Epidermal Growth Factor Receptor (фосфорилированный рецептор эпидермального фактора роста)
pKa,Константа диссоциации
pRb,Retinoblastoma-associated Protein (белок ретинобластомы)
peg-IFN,Pegylated Interferon alpha-2b (пегилированный интерферон альфа-2b)
t1/2,"Half-life (период полувыведения): время, за которое концентрация вещества в плазме крови уменьшается на 50%"
tmax,"Time to maximum concentration (время достижения максимальной концентрации): время, за которое достигается максимальная концентрация лекарственного вещества в плазме крови"
vWF,Von Willebrand Factor (фактор фон Виллебранда)
α,"Вероятность отклонить нулевую гипотезу, когда она истинна (ошибка первого рода)"
α1-AGP,Alpha-1-acid glycoprotein (α1-кислый гликопротеин)
β,"Вероятность не отклонить нулевую гипотезу, когда она ложна (ошибка второго рода)"
β-NAG,N-Acetylglucosaminidase (n-ацетилглюкозаминидаза)
β-АБ,Β-адреноблокаторы
γ-ГТ,Гамма-глутамилтранспептидаза
А,Пик скорости фазы систолы предсердий
АА,Апластическая анемия
ААГ,Α1-кислый гликопротеин
ААК1,Ар2-ассоциированная протеинкиназа 1
ААТ,Антиандрогенная терапия
ААТ,Антитромбоцитарные антитела
АБФ,Активированный белок фибробластов
АВК,Антагонист витамина к
АВС,Активированное время свертывания
АГ,Артериальная гипертензия
АГЗ,Ассоциированное гематологическое заболевание
АГЗ НТК,Ассоциированное клональное гематологическое заболевание не тучных клеток
АД,Артериальное давление
АД,Атопический дерматит
АДА,Американская диабетическая ассоциация
АДБ,Анемия даймонда-блэкфена
АДТ,Андроген депривационная терапия
АДФ,Аденозиндифосфорная кислота
АЗКЦ,Антителозависимая клеточно-опосредованная цитотоксичность
АКМ,Соотношение экскреции альбумин/креатинин в моче
АКТГ,Адренокортикотропный гормон
АКШ,Аортокоронарное шунтирование
АЛТ,Аланинаминотрансфераза
АЛТР,Антагонисты лейкотриеновых рецепторов
АМКР,Антагонисты минералокортикоидных рецепторов
АМЛ,Ангиомиолипома
АМР,Антагонист минералокортикоидного рецептора
АМФ,Аденозинмонофосфат
АО,Акционерное общество
АПФ,Ангиотензинпревращающий фермент
АР,Андрогенный рецептор
АРА,Антагонисты рецепторов ангиотензина ii
АРВП,Антиретровирусные препараты
АРВТ,Антиретровирусная терапия
АРМЭ,"Процессы абсорбции, распределения, метаболизма и элиминации"
АРНИ,Ангиотензиновых рецепторов и неприлизина ингибитор
АС,Анкилозирующий спондилоартрит
АСА,Активная системная анафилаксия
АСК,Ацетилсалициловая кислота
АСМ,Агрессивный системный мастоцитоз
АСРА,Антитела к циклическому цитруллинсодержащему пептиду
АССЗ,Атеросклеротические сердечно-сосудистые заболевания
АСТ,Аспартатаминотрансфераза
АТФ,Аденозинтрифосфорная кислота
АТХ,Анатомо-терапевтическо-химическая классификация
АФП,Альфа-фетопротеин
АФС,Активная фармацевтическая субстанция
АЦ,Аденилатциклаза
АЧН,Абсолютное число нейтрофилов
АЧТВ,Активированное частичное тромбопластиновое время
Алло-ТГСК,Аллогенная трансплантация гемопоэтических стволовых клеток
Анти-HCV,Специфические иммуноглобулины классов igm и igg к белкам вируса гепатита c
АпоB,Аполипопротеин b
АпоE,Аполипопротеин e
АрГПП-1,Агонисты рецепторов глюкагоноподобного пептида 1
БА,Бронхиальная астма
БАД,Биологически активная добавка
БАК,Биохимический анализ крови
БАЛЖ,Бронхоальвеолярная лаважная жидкость
БИ,Брошюра исследователя
БКК,Блокаторы кальциевых каналов
БКР,Базальноклеточный рак кожи
БЛНПГ,Блокада левой ножки пучка гиса
БМАРП,Болезньмодифицирующие антиревматические препараты
БМО,Большой молекулярный ответ
БПВ,Беспрогрессивная выживаемость
БРА,Блокатор рецептора ангиотензина
БРВ,Безрецидивная выживаемость
БРРМЖ,Белок резистентности рака молочной железы
БСК,Болезни системы кровообращения
БЦО,Большой цитогенетический ответ
БЭ,Биоэквивалентность
В. квартиль,Верхний квартиль
ВААРТ,Высокоактивная антиретровирусная терапия
ВАБ,Выборка для анализа безопасности
ВАШ,Визуальная аналоговая шкала
ВБИЗ,Выживаемость без инвазивного заболевания
ВБМ,Выживаемость без метастазирования
ВБП,Выживаемость без прогрессирования
ВБП(з),Выживаемость без прогрессирования (заболевания)
ВВТТГ,Внутривенный тест толерантности к глюкозе
ВГ,Вирусный гепатит
ВГB,Вирусный гепатит B
ВГC,Вирусный гепатит C
ВГB,Вирус гепатита B
ВГН,Верхняя граница нормы
ВГC,Вирус гепатита C
ВГТТ,Внутривенное болюсное введение глюкозы
ВДПЗ,Время до прогрессирования заболевания
ВЖД,Высокожировая диета
ВЖХ,Высокоэффективная жидкостная хроматография
ВИЧ,Вирус иммунодефицита человека
ВИЧ-1,Вирус иммунодефицита человека типа 1
ВКК,Верхний контроль качества
ВМС,Внутриматочная спираль
ВН,Вирусная нагрузка
ВН,Вирусологическая неэффективность
ВОЗ,Всемирная организация здравоохранения
ВПЗ,Время до прогрессирования заболевания
ВПЗО,Вторичные первичные злокачественные опуходи
ВПКО,Верхний предел количественного определения
ВПН,Верхний предел нормы
ВС,Внутренний стандарт
ВТЭ,Венозная тромбоэмболия
ВТЭО,Венозное тромбоэмболическое осложнение
ВЧК,Внутричерепное кровоизлияние
ВЭЖК,Высокоэффективная жидкостная хроматография
ВЭЖХ-МС,Высокоэффективная жидкостная хроматография с масс-спектрометрией
ВЭЖХ-МС/МС,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией
ВЭЖХ/МС,Высокоэффективная жидкостная хроматография с масс-спектрометрией
ВдО,Время до ответа на лечение
ГАМК,Гамма-аминомасляная кислота
ГГН,Гипоталамо-гипофизарно-надпочечниковая система
ГГТ,Гамма-глутамилтранспептидаза
ГГТ,Гамма-глутамилтрансфераза
ГИБП,Генно-инженерные биологические препараты
ГИП,Глюкозозависимый инсулинотропный пептид
ГИТ,Гепарин-индуцированная тромбоцитопения
ГК,Глюкокортикостероиды
ГК,Группа компаний
ГК,Крысы линии гото-какизаки
ГКС,Глюкокортикостероиды
ГЛФ,Готовая лекарственная форма
ГМ-КСФ,Гранулоцитарно-макрофагальный колониестимулирующий фактор
ГМГ-КоА,3-гидрокси-3-метилглутарил-кофермент а редуктаза
ГОСТ,Государственный стандарт
ГПМЦ,Гидроксипропилметилцеллюлоза
ГПН,Глюкоза плазмы натощак
ГПП,Глюкагоноподобный пептид
ГПП-1,Глюкагоноподобный пептид-1
ГПТ,Глутамат-пируват-трансаминаза
ГРГ,Гонадотропин-рилизинг-гормон
ГРЛС,Государственный реестр лекарственных средств
ГТ,Генотип
ГТТ,Глюкозотолерантный тест
ГУ,Гиперурикемия
ГФ,Государственная фармакопея
ГХ,Газовая хроматография
