"abbreviation","description","contexts"
"АСТ","Аспартатаминотрансмфераза","...ие АЛТ (24%), гипербилирубинемия (16%), повышение АСТ (12%), липазы (11%), билирубина в крови (10%), ги... ...я, представленные преимущественно повышением АЛТ, АСТ, липазы. Прием лекарственных препаратов, характер..."
"АТФ","Аденозинтрифосфат","...бладает высоким сродством к участкам связывания с АТФ и, таким образом, оказывает выраженное ингибирующ... ... Препарат прочно связывается в области связывания АТФ, формируя таким образом мощный ингибитор дикого т... ... мишенью нилотиниба является участок связывания с АТФ, отвечающий за тирозинкиназную активность онкопро... ...оза [5]. Нилотиниб блокирует участок связывания с АТФ, отвечающий за тирозинкиназную активность онкопро... ...ю нилотиниба является участок связывания молекулы АТФ с белком BCR-Abl, отвечающий за тирозинкиназную а... ...более прочные связи в участке связывания молекулы АТФ с белком BCR-Abl, что привело к усилению блокирую..."
"АТХ","Анатомо-терапевтическо-химическая классификация","...тво. Протеин-тирозинкиназы ингибитор. 1.6. Код по АТХ L01XЕ08 Обоснование для изучения исследуемого пре... ...ы	14 1.5. Фармакологическая группа	14 1.6. Код по АТХ	14 1.7.	Обоснование для изучения исследуемого пре..."
"АЧТВ","Активированное частичное тромбопластиновое время","...боцитов, уменьшение массы эритроцитов, увеличение АЧТВ) при внутрижелудочном введении нилотиниба в дозе>..."
"БМО","Большой молекулярный ответ","...bl вплоть до повторного достижения предшествующих БМО или МО 4.0. Соответствие критериям отмены терапии... ...кже на протяжении периода без лечения. При потере БМО или подтвержденной потере МО 4.0 (два последовате... ...,7% и 22,3%соответственно, р <0,0001). Показатели БМО на 3, 6, 9 и 12 месяцев составили 8,9%, 33,0%, 43... ...44,3% и 22,3% соответственно; р <0,0001). Частота БМО за 12 месяцев также была статистически достоверно... ...кой эффективности был большой молекулярный ответ (БМО) через 12 месяцев. БМО определяли как ≤0,1% BCR-A... ...недели, подтверждающих потерю МО 4.0) или потерей БМО лечение препаратом следует возобновить в течение ... ...авлением опухолевого клона, достигающих не только БМО, но и стабильного полного молекулярного ответа (П... ...ию транскрипции относительно исходных. Показатель БМО за 12 месяцев был статистически достоверно выше д... ...ольшой молекулярный ответ (БМО) через 12 месяцев. БМО определяли как ≤0,1% BCR-Abl / ABL% по международ... ...кже на протяжении периода без лечения. При потере БМО или подтвержденной потере МО 4.0 (2 последователь..."
"БЦО","Большой цитогенетический ответ","... частота ПГО и большого цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и... ...клинических исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в групп... ...ь. Первичной конечной точкой у пациентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный цитоген..."
"ВГН","Верхняя граница нормы","... увеличении активности липазы крови в 2 раза выше ВГН, концентрации билирубина в 3 раза выше ВГН или «п... ...а выше ВГН, концентрации билирубина в 3 раза выше ВГН или «печеночных» трансаминаз в 5 раз выше ВГН доз... ...ыше ВГН или «печеночных» трансаминаз в 5 раз выше ВГН дозу нилотиниба рекомендуется снизить до 400 мг 1... ... плазме крови в 1,5 раза > верхней границы нормы (ВГН)). Поскольку почки не играют существенной роли в ..."
"ГМГ-КоА","Гидрокси-метилглютарил-кофермент А","...рожность при необходимости применения ингибиторов ГМГ-КоА-редуктазы (гиполипидемические средства) одновреме... ...зофермента CYP3A4 (например, некоторые ингибиторы ГМГ-КоА редуктазы), их системная экспозиция может увеличи... ...ольку путь метаболических превращений ингибиторов ГМГ-КоА-редуктазы происходит при участии изофермента CYP3..."
"ДНК","Дезоксирибонуклеиновая кислота","...ие свободных радикалов служат основой повреждения ДНК, способствуют развитию геномной нестабильности и ... ... на лимфоцитах человека и с использованием метода ДНК-комет [3]. При проведении исследований in vivo в ... ...ативная активность, усиление процессов репликации ДНК, снижение интенсивности процессов репарации и нак..."
"ЖКТ","Желудочно-кишечный тракт","...ивота (5%). К частым побочным явлениям со стороны ЖКТ относят дискомфорт в области живота, вздутие живо... ...побочным реакциям при приёме препарата со стороны ЖКТ относят изъязвление слизистой оболочки полости рт... ... отмечались серьёзные побочные реакции со стороны ЖКТ – желудочно-кишечные кровотечения у < 1% пациенто... ...епарата были выявлены побочные реакции со стороны ЖКТ при пероральном введении обезьянам – нарушение ко... ...епарата были выявлены побочные реакции со стороны ЖКТ, а при длительном внутривенном введении – местные... ...ые реакции со стороны желудочно-кишечного тракта (ЖКТ), а при длительном внутривенном введении – периве..."
"ИТК","Ингибитор тирозинкиназы","...е в качестве стандарта терапии ХМЛ специфического ИТК иматиниба позволило достичь беспрецедентных ответ... ...ия ХМЛ, а именно появление в клинической практике ИТК второго поколения (нилотиниб, дазатиниб), открыва... ...годня живы большинство больных, начавших получать ИТК 12 лет назад. Общая выживаемость пациентов (по да... ...ных эффектов трех зарегистрированных к применению ИТК дает возможность выбора препарата с наилучшей пер... ...таны другие препараты, также относящиеся к группе ИТК. Отдельные препараты прошли клинические исследова... ... ингибирующих зависимую от Bcr-Abl тирозинкиназу (ИТК), и высокой эффективностью этой терапии изменилас... ...х при постоянном приеме ингибиторов тирозинкиназ (ИТК) до использования принципа ранней индукции полной... ... специфических ингибиторов Bcr-Abl-тирозинкиназы (ИТК) привело к изменению прогноза при ХМЛ. Так называ... ...я в клиническую практику ингибитора тирозинкиназ (ИТК) I поколения иматиниба мезилата (Гливек; Novartis... ...и в течение первых 3 лет терапии с использованием ИТК второго поколения значительно выше (35—50%) по ср..."
"кг","Килограмм","...акже наблюдалась у самок собак при введении 15 мг/кг. Патологические изменения у обезьян, которым ввод... ...тверждена высокая эффективность нилотиниба (75 мг/кг/день) при введении непосредственно лейкозных клет... ...емия наблюдались у самок собак при введении 45 мг/кг в 4-недельном исследовании токсичности, а только ... ...ведении внутривенно болюсно препарата в дозе 9 мг/кг у животных. При внутривенном введении не было кли... ...ь у крыс (при применении нилотиниба в дозе ≥30 мг/кг). Воспаление печени, застой желчи, загустение жел... ...а осуществляли на протяжении 16 дней в дозе 75 мг/кг/день через три дня после имплантации мышам клеток... ...безьян, получавших нилотиниб в дозах 200 и 600 мг/кг, наблюдались желудочно-кишечные симптомы в виде и... ... у крыс было показано, что препарат в дозе 300 мг/кг не оказывает влияния на структуры нервной и дыхат... ...ись у собак при введении нилотиниба в дозе ≥45 мг/кг. Билирубинурия и гипербилирубинемия наблюдались у... ...при однократном пероральном введении в дозе 75 мг/кг/день: отмечалось резкое уменьшение опухолевой мас..."
"м","Метр","... болезни при длительной терапии иматинибом на 5—8-м году не превышает 0,5% [5, 29, 32]. С ростом выжи..."
"мг","Миллиграмм","...ку препарата TL-NLT-c (Нилотиниб-ТЛ), капсулы 200 мг (ООО «Технология лекарств», Россия), были проанал... ...кой растворимостью в водных растворах (около 0,02 мг/мл) при температуре равной 25оС. При увеличении p... ...нтности будет использоваться только дозировка 200 мг. Качественный и количественный состав вспомогател... ...го препарата TL-NLT-c (Нилотиниб-ТЛ), капсулы 200 мг (ООО Технология лекарств», Россия) и референтного... ...нтности будет использоваться только дозировка 200 мг. 2.2.3 Состав лекарственной формы Состав: В рамка... ... белого или почти белого цвета. Для дозировки 150 мг. Твердые желатиновые капсулы № 1 с корпусом белог... ...подтверждена высокая эффективность нилотиниба (75 мг/кг/день) при введении непосредственно лейкозных к... ...Rα при однократном пероральном введении в дозе 75 мг/кг/день: отмечалось резкое уменьшение опухолевой ... ....2 Описание лекарственной формы Для дозировки 200 мг. Твердые желатиновые капсулы № 0 с корпусом и кры... ...ниба осуществляли на протяжении 16 дней в дозе 75 мг/кг/день через три дня после имплантации мышам кле..."
"мин","Минута","...нилотиниба натощак. Применение препарата через 30 мин или 2 ч после приема пищи повышало биодоступность..."
"мл","Миллилитр","... растворимостью в водных растворах (около 0,02 мг/мл) при температуре равной 25оС. При увеличении pH р... ...елом количественного определения не менее 2,50 нг/мл. Результаты параметров ФК приведены в таблице ниж..."
"МО","Молекулярный ответ","...ественного теста, валидированного для определения МО с минимальной чувствительностью МО, равному 4.5. ... ...ля определения МО с минимальной чувствительностью МО, равному 4.5. Уровень транскрипта BCR-Abl следует... ...лиза с интервалом 4 недели, подтверждающих потерю МО 4.0) или потерей БМО лечение препаратом следует в... ...ожности определения уровня их экспрессии, глубины МО и оценки возможной потери молекулярной ремиссии п... ...озможность отмены терапии при стабильном глубоком МО 4.5 на фоне терапии нилотинибом на протяжении 3 л... ...ечение предшествующих 3 лет и достигших глубокого МО, стабильного на протяжении минимум 1 года непосре... ...е 12 недель. У пациентов с подтвержденной потерей МО 4.0 (2 последовательных анализа с интервалом 4 не... ...хронической фазе, достигших стабильного глубокого МО При отмене терапии препаратом Тасигна® при попытк... ...ь до повторного достижения предшествующих БМО или МО 4.0. Соответствие критериям отмены терапии. У пац... ...циенты с Ph+ XMЛ в хронической фазе, не достигшие МО 4.5 или более на фоне терапии иматинибом. Ниже пр..."
"ООО","Общество с ограниченной ответственностью","...а также по лекарственной форме препарат TL-NLT-c (ООО «Технология лекарств», Россия) полностью соответс... ...ьных веществ препарата  TL-NLT-c  (Нилотиниб-ТЛ) (ООО Технология лекарств», Россия) имеет ряд незначимы... ...репарата TL-NLT-c (Нилотиниб-ТЛ), капсулы 200 мг (ООО «Технология лекарств», Россия), были проанализиро... .... TL-NLT-c – воспроизведенный препарат нилотиниба ООО «Технология лекарств», Россия. По качественному и... ...сударственной регистрации препарата Нилотиниб-ТЛ (ООО «Технология лекарств», Россия) целесообразно пров... ...я государственной регистрации препарата TL-NLT-c (ООО «Технология лекарств», Россия) инициировано прове... ...водилось. Так как препарат Нилотиниб производства ООО «Технология лекарств» представляет собой воспроиз... ...репарата TL-NLT-c (Нилотиниб-ТЛ), капсулы 200 мг (ООО Технология лекарств», Россия) и референтного преп... ... со стабильным полным молекулярным ответом (ПМО). ООО «Технология лекарств» разработан воспроизведенный... ...зюме Клинических исследований препарата TL-NLT-c (ООО «Технология лекарств», Россия) не проводилось. Та..."
"ПГО","Полный гематологический ответ","... ХФ не были включены в оценку, т.к. исходно имели ПГО 2 ОПЛ  = отсутствие признаков лейкоза/костномозго... ...аточно высокая активность препарата. Так, частота ПГО и большого цитогенетического ответа (БЦО) у больн... ...оэтических клеток. Полный гематологический ответ (ПГО) у пациентов с ХФ был оценен как вторичная конечн... ...фазе клинических исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в ..."
"ПМО","Полный молекулярный ответ","...ольных со стабильным полным молекулярным ответом (ПМО). ООО «Технология лекарств» разработан воспроизве... ...О, но и стабильного полного молекулярного ответа (ПМО). Это позволило бы вплотную подойти к возможности..."
"ПЦО","Полный цитогенетический ответ","...ль ПЦО к 24 месяцам (включая пациентов, достигших ПЦО в момент или до 24-месячного периода времени) был... ...г один раз в день. Полный цитогенетический ответ (ПЦО) определялся как 0% Ph + метафазы в костном мозге... ...ь ПЦО на 12 месяцев (включая пациентов, достигших ПЦО в момент ответа или до 12-месячного периода време... ...нии оценки не менее 20 метафаз. Лучший показатель ПЦО на 12 месяцев (включая пациентов, достигших ПЦО в... ...еских исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в группах бол... ...иентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный цитогенетический ответ) или значительное ... ...0 мг один раз в день, см. таблицу 4.3. Показатель ПЦО к 24 месяцам (включая пациентов, достигших ПЦО в ..."
"ПЦР-РВ","Реакция полимеразной цепной реакции в реальном времени","...по международной шкале (IS), измеренной с помощью ПЦР-РВ, что соответствует ≥3 log сокращению транскрипции..."
"РФ","Российская Федерация","...ного препарата, зарегистрированного на территории РФ Тасигна®, представляется возможным обращение к на..."
"ФА","Фаза акселерации","... терапии иматинибом, из них 17 – в ХФ ХМЛ, 56 – в ФА ХМЛ, 24 – с миелоидным БК ХМЛ и 22 – с лимфоидным... ...го цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и 27%, 39 и 18% соотв... ...левания: хроническая фаза (ХФ), фаза акселерации (ФА) (прогрессирование), бластный криз (БК). За после... ...начительно меньшее число больных прогрессируют до ФА/БК при терапии нилотинибом в дозе 600 и 800 мг по... ... путей и прогрессии ХМЛ из ХФ в фазу акселерации (ФА) и бластного криза (БК) [29, 30, 14, 37]. Внедрен... ...ии и предупреждения развития развернутых фаз ХМЛ (ФА и БК), при которых происходит активация не зависи... ...ая точка. Первичной конечной точкой у пациентов в ФА была общий подтвержденный гематологический ответ ... ...кой фазе (ХФ) и 137 пациентов в фазе акселерации (ФА). Доза нилотиниба составляла 400 мг два раза в де... ...аемость без прогрессирования до фазы акселерации (ФА) и бластного криза (БК) — 92%. Частота прогрессир..."
"ФВЛЖ","Фракция выброса левого желудочка","...нижения средней фракции выброса левого желудочка (ФВЛЖ) не наблюдалось, ни у одного пациента не отмечало... ...ациента не отмечалось ни ФВЛЖ <45% з, ни снижения ФВЛЖ более чем на 15%. Прекращение терапии из-за НР на... ...аблюдалось, ни у одного пациента не отмечалось ни ФВЛЖ <45% з, ни снижения ФВЛЖ более чем на 15%. Прекра..."
"ХМЛ","Хронический миелолейкоз","... лет [34]. Еще более редкие случаи заболеваемости ХМЛ у детей. Заболеваемость увеличивается с возрастом... ...4]. В 2012 году во Всероссийском Регистре больных ХМЛ насчитывалось 5655 пациентов, из них 93,1 % — в х... ...ение Ph-положительного хронического миелолейкоза (ХМЛ) включало применение гидроксимочевины, интерферон... ...l является обязательным для установления диагноза ХМЛ. Приблизительно 95% пациентов с хроническим миело... ...или его непереносимости. Хронический миелолейкоз (ХМЛ) — редкое заболевание. Число первичных больных в ... ...ических стволовых клетках. Уникальная особенность ХМЛ — наличие специфического маркера в опухолевых кле... ...иагностикой и лечением хронического миелолейкоза (ХМЛ) кардинально изменилась. Появление препаратов, ун... ... шести с половиной тысяч и более. Патогенетически ХМЛ представляет собой клональный миелопролиферативны... ...ло к быстрому и значительному прогрессу в лечении ХМЛ, а также к важным изменениям в тактике ведения бо... ...(1,2:1). Медиана возраста составляет 11 лет [31]. ХМЛ – двух- или трехфазная болезнь. Начальный, или хр..."
"ХМЛ","Хронический миелоидный лейкоз","... лет [34]. Еще более редкие случаи заболеваемости ХМЛ у детей. Заболеваемость увеличивается с возрастом... ...4]. В 2012 году во Всероссийском Регистре больных ХМЛ насчитывалось 5655 пациентов, из них 93,1 % — в х... ...ение Ph-положительного хронического миелолейкоза (ХМЛ) включало применение гидроксимочевины, интерферон... ...l является обязательным для установления диагноза ХМЛ. Приблизительно 95% пациентов с хроническим миело... ...или его непереносимости. Хронический миелолейкоз (ХМЛ) — редкое заболевание. Число первичных больных в ... ...ических стволовых клетках. Уникальная особенность ХМЛ — наличие специфического маркера в опухолевых кле... ...иагностикой и лечением хронического миелолейкоза (ХМЛ) кардинально изменилась. Появление препаратов, ун... ... шести с половиной тысяч и более. Патогенетически ХМЛ представляет собой клональный миелопролиферативны... ...ло к быстрому и значительному прогрессу в лечении ХМЛ, а также к важным изменениям в тактике ведения бо... ...(1,2:1). Медиана возраста составляет 11 лет [31]. ХМЛ – двух- или трехфазная болезнь. Начальный, или хр..."
"ХФ","Хроническая фаза","...льшого цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и 27%, 39 и 18% с... ...ляет примерно 85%. У больных с хронической фазой (ХФ) ХМЛ выживаемость без прогрессирования до фазы ак... ...ки доброкачественно протекающей хронической фазы (ХФ) ХМЛ накапливается большая масса лейкозных клеток... ...осимость. Первичной конечной точкой у пациентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный... ...полнительных онкогенных путей и прогрессии ХМЛ из ХФ в фазу акселерации (ФА) и бластного криза (БК) [2... ...Полный гематологический ответ (ПГО) у пациентов с ХФ был оценен как вторичная конечная точка. Первично... ...4.2. 	Частота ответа на терапию. 1114 пациентов в ХФ не были включены в оценку, т.к. исходно имели ПГО... ...анее проводимой терапии иматинибом, из них 17 – в ХФ ХМЛ, 56 – в ФА ХМЛ, 24 – с миелоидным БК ХМЛ и 22... ...была проведена у 321 пациента в хронической фазе (ХФ) и 137 пациентов в фазе акселерации (ФА). Доза ни... ...ыделяют три стадии заболевания: хроническая фаза (ХФ), фаза акселерации (ФА) (прогрессирование), бласт..."
"ч","Час","...т принимать 2 раза в сутки (каждые 12 ч), через 2 ч после еды. После применения нилотиниба принимать ... ... натощак. Применение препарата через 30 мин или 2 ч после приема пищи повышало биодоступность нилотин... ...ниба принимать пищу следует не ранее, чем через 1 ч. Капсулы необходимо проглатывать целиком, запивая... ... у пациентов с тяжелыми заболеваниями сердца (в т.ч. нестабильной стенокардией, неконтролируемой хрон... ..., являющимися индукторами изофермента CYP3A4 (в т.ч. фенитоин, рифампицин, карбамазепин, фенобарбитал... ...менении суточной дозы составлял приблизительно 17 ч. При применении нилотиниба у пациентов с нарушени... ...тиниб следует принимать 2 раза в сутки (каждые 12 ч), через 2 ч после еды. После применения нилотиниб... ...лотиниба в плазме крови (Tmax) составляет около 3 ч. Абсорбция нилотиниба после перорального применен... ...ного результата серологического тестирования (в т.ч. при активном инфекционном процессе) следует пров... ...с нарушениями функции печени, с панкреатитом (в т.ч. в анамнезе). Нилотиниб не следует применять одно..."
"ЭКГ","Электрокардиограмма, электрокардиографическое исследование","...ка удлинения интервала QT на электрокардиограмме (ЭКГ): с врожденным удлинением интервала QT, с медикам... ...звитие нейтропении, рвоты и сонливости. Изменений ЭКГ и признаков токсического поражения печени отменен... ...оцессе лечения препаратом рекомендуется проводить ЭКГ-исследование. Перед применением препарата при нео... ... ощущение сердцебиения, удлинение интервала QT на ЭКГ; нечасто - сердечная недостаточность, инфаркт мио..."
