abbreviation,description
TEL,"Translocated ets (e26 transformation-specific) leukemia, транскрипционный фактор трансформации e26, связанный с развитием лейкемии"
TERT,"Теломераза обратная транскриптаза, ген, кодирующий белок (telomerase reverse transcriptase)"
TFPI,"Tissue factor pathway inhibitor, ингибитор пути тканевого фактора"
TFV,Тенофовир
TGA,Австралийская администрация лекарственных средств
TGF,"Transforming growth factor, трансформирующий фактор роста"
TGFβ1,Трансформирующий фактор роста бета (transforming growth factor beta)
TIMP,Ингибитор металлопротеиназы
TLOVR,Время до потери вирусологического ответа
TLR,Toll-подобные рецепторы
TLR4,Толл-подобный рецептор 4
TN,"Пациенты, ранее не получавшие лечения"
TNF-α,Фактор некроза опухоли-α (tumour necrosis factor-α)
TPGS,Токоферилполиэтиленгликольсукцинат
TPO,Тромбопоэтин (thrombopoietin)
TPO-R,Рецептор тромбопоэтина (thrombopoietin receptor)
TRKB,"Киназа рецептора тропомиозина b, кодируется геном ntrk2 (tropomyosin receptor kinase)"
TSC,"Tuberosis sclerosis (complex), туберозный склероз"
TTF,Время до неэффективности лечения
TTP,Время до прогрессирования заболевания (time to progression)
TYR03,"Протоонкогенная тирозин-протеинкиназа tyro3, кодируется геном tyro3"
TZD,Тиазолидиндионы
Tg,Трансгенный (transgenic)
Th17,Т-хелперные клетки типа 17
Tlag,Время задержки абсорбции
Tlast,Время отбора последнего биообразца
Tp-Te,Время от пика до конца зубца
TyK2,Тирозинкиназа 2 (tyrosine kinase 2)
UACR,Соотношение альбумина и креатинина мочи
UDP-GT,Уридин-5'-дифосфоглюкуронозилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase)
UDPGA,Уридиндифосфат глюкуроновой кислоты
UGE,Экскреция глюкозы с мочой (urinary glucose excretion)
ULN,Верхняя граница нормы согласно данным испытательной лаборатории
URT,"Unique recombinant forms, уникальные рекомбинантные формы"
UV-LLNA,"Ultra violet local lymph node assay, метод локальных лимфатических узлов при ультрафиолетовом облучении"
V1,Кажущийся объем распределения в центральном компартменте
V2,Кажущийся объем распределения в периферическом компартменте
VCAM-1,Молекула адгезии сосудистого эндотелия-1
VSS,Кажущийся объем распределения
"Vd,ss/F",Кажущийся объем распределения в равновесном состоянии
Vd/F,Кажущийся объем распределения
Vdβ,Кажущийся объем распределения
Vp/F,Кажущийся объем распределения в периферическом компартменте
Vs.,Против
Vz / Fss,Средний кажущийся объем распределения в равновесном состоянии
Vz/F,"Объем распределения, связанный с терминальной фазой"
WCAW,Неделя хорошо контролируемой астмы (well-controlled asthma week)
WH,[крысы линии] wistar hannover
WHO/ВОЗ,Всемирная организация здравоохранения
WMD,Средневзвешенное различие (weighted mean difference)
WPAI-UC,Опросник нарушения трудоспособности и повседневной деятельности (work productivity and activity impairment)
WT,Дикий тип
WU,Единицы вуда (wood units)
ZDF,Крысы с диабетом и ожирением (zucker diabetic fatty rat)
ZDV,Зидовудин
ZF,Тучные крысы цукера
a-SMA,A-гладкомышечный актин
c-Kit,Белковая тирозинкиназа kit
c-Met,"Рецепторная тирозинкиназа, принадлежащую к семейству met (трансформирующий ген mnng hos)"
ddI,Диданозин
dp/dt,Скорость нарастания давления в левом желудочке в ранней фазе систолы
eNOS,Эндотелиальной синтаза оксида азота(endothelial nitric oxide synthase)
e’,Максимальная скорость подъёма основания сердца в раннюю диастолу
fumic,"Фракция, не связанная в микросомах."
gCV,Геометрический коэффициент вариации
hBMNC,Мононуклеарные клетки костного мозга человека (human bone marrow mononuclear cells)
hCES,Рекомбинантные человеческие ферменты-карбоксилэстеразы (human recombinant carboxylesterases)
"hOAT1, hOAT3",Органические переносчики анионов
hOAT3,Транспортер органических анионов человека третьего типа
hPASMC,Клетки гладкой мускулатуры легочной артерии человека (human pulmonary artery smooth muscle cells)
ka,Константа скорости всасывания первого порядка
mRSS,Кожный индекс по роднану
n,Число наблюдений
n-3 ПНЖК,Омега-3 полиненасыщенные жирные кислоты
pEGFR,Фосфорилированный рецептор эпидермального фактора роста (phosphorylated epidermal growth factor receptor)
pH,Водородный показатель
pKa,Константа диссоциации
pRb,Белокретинобластомы (retinoblastoma-associated protein)
peg-IFN,Пегилированный интерферон альфа-2b
tmax,Время достижения максимальной концентрации
vWF,Фактор фон виллебранда
α,Граничная величина ошибки первого рода (уровень значимости)
α1-AGP,Α1-кислый гликопротеин
β,Граничная величина ошибки второго рода
β-NAG,N-ацетилглюкозаминидаза
β-АБ,Β-адреноблокаторы
"γ-ГТ, ГГТ",Гаммаглутамилтранспептидаза
А,Пик скорости фазы систолы предсердий
АDO,"8-амино-3,6-диоксаоктановая кислота"
АА,Апластическая анемия
ААГ,Α1-кислый гликопротеин
ААК1,Ар2-ассоциированной протеинкиназе 1
АБФ,"Активированный белок фибробластов (fibroblast activation protein, fap)"
АВС,Активированное время свертывания
АГЗ,Ассоциированное гематологическое заболевание
АГЗ НТК,Ассоциированное клональное гематологическое заболевание не тучных клеток
АГП,Α1-кислый гликопротеин
АДА,Американская диабетическая ассоциация
АДБ,Анемия даймонда-блэкфена
АДТ,Андроген депривационная терапия
АЗКЦ,Антителозависимая клеточно-опосредованная цитотоксичность
АКМ,Соотношение экскреции альбумин/креатинин в моче
АКТГ,Адренокортикотропный гормон
АКШ,Аортокоронарное шунтирование
АЛТР,Антагонисты лейкотриеновых рецепторов
АМКР,Антагонисты минералокортикоидных рецепторов
АМЛ,Ангиомиолипома
АМФ,Аденозинмонофосфат
АПФ,Ангиотензинпревращающий фермент
АР,Андрогенный рецептор
АРА,Антагонисты рецепторов ангиотензина ii
АРВП,Антиретровирусные препараты
АРМЭ,"Процессы абсорбции, распределения, метаболизма и элиминации"
АРНИ,Ангиотензиновых рецепторов и неприлизина ингибитор
АРТ,Антиретровирусная терапия
АРТ/АРВТ,Антиретровирусная терапия
АС,Анкилозирующий спондилоартрит
АСА,Активная системная анафилаксия
АСК,Ацетилсалициловая кислота
АСМ,Агрессивный системный мастоцитоз
АСРА,Антитела к циклическому цитруллинсодержащему пептиду
АССЗ,Атеросклеротические сердечно-сосудистые заболевания
АТ III,Антитромбин iii
АТ-II,Ангиотензин ii
АФП,Альфа-фетопротеин
АФС,Активная фармацевтическая субстанция
АЦ,Аденилатциклаза
АЧН,Абсолютное число нейтрофилов
АЧТВ,Активированное частичное тромбопластиновое время
Алло-ТГСК,Аллогенная трансплантация гемопоэтических стволовых клеток
Анти-HCV,Специфические иммуноглобулины классов igm и igg к белкам вируса гепатита с
АпоВ,Аполипопротеин b
АпоЕ,Аполипопротеин e
АрГПП-1,Агонисты рецепторов глюкагоноподобного пептида 1
БА,Бронхиальная астма
БАД,Биологически активная добавка
БАЛЖ,Бронхоальвеолярная лаважная жидкость
БИ,Брошюра исследователя
БКК,Блокаторы кальциевых каналов
БКР,Базальноклеточный рак кожи
БЛНПГ,Блокада левой ножки пучка гиса
БМАРП,Болезньмодифицирующие антиревматические препараты
БМО,Большой молекулярный ответ
БПВ/PFS,Беспрогрессивная выживаемость
БРВ,Безрецидивная выживаемость
БРРМЖ,Белок резистентности рака молочной железы
БСК,Болезни системы кровообращения
БТК/BTK,Тирозинкиназа брутона
БЦО,Большой цитогенетический ответ
В. квартиль,Верхний квартиль
ВIКЕ,Вмр-2-индуцибельной киназа
ВА,Биодоступность
ВААРТ,Высокоактивная антиретровирусная терапия
ВАБ,Выборка для анализа безопасности
ВАШ,Визуальная аналоговая шкала
ВБИЗ,Выживаемость без инвазивного заболевания
ВБП(з),Выживаемость без прогрессирования (заболевания)
ВВТТГ,Внутривенный тест толерантности к глюкозе
ВГ,Вирусный гепатит
ВГВ/С,Вирусный гепатит в или с
ВГН,Верхняя граница нормы
ВГТТ,Внутривенное болюсное введение глюкозы
ВДПЗ,Время до прогрессирования заболевания
ВЖД,Высокожировая диета
ВЖХ,Высокоэффективная жидкостная хроматография
ВИЧ-1,Вирус иммунодефицита человека типа 1
ВКК,Верхний контроль качества
ВМС,Внутриматочная спираль
ВПЗ,Время до прогрессирования заболевания
ВПЗО,Вторичные первичные злокачественные опуходи
ВПКО,Верхний предел количественного определения
ВПН,Верхний предел нормы
ВС,Внутренний стандарт
ВТЭО,Венозное тромбоэмболическое осложнение
ВЧК,Внутричерепное кровоизлияние
ВЭЖХ-МС,Метод высокоэффективной жидкостной хроматографии с масс-спектрометрией
ВЭЖХ/МС,Высокоэффективная жидкостная хроматография
ВдО,Время до ответа на лечение
ГАМК,Гамма-аминомасляная кислота
ГГН,Гипоталамо-гипофизарно-надпочечниковая система
ГИБП,Генно-инженерные биологические препараты
ГКС,Глюкокортикостероиды
ГЛФ,Готовая лекарственная форма
ГМ-КСФ,Гранулоцитарно-макрофагальный колониестимулирующий фактор
ГМГ-КоА-редуктаза,3-гидрокси-3-метилглутарил-кофермент а редуктаза
ГМПЦ,Гидроксипропилметилцеллюлоза
ГОСТ,Государственный стандарт
ГПП-1Р,Рецептор к гпп-1
ГРГ,Гонадотропин-рилизинг-гормон
ГРЛС,Государственный реестр лекарственных средств
ГТ,Генотип
ГТГ,Гипертриглицеридемия
ГТТ,Глюкозотолерантный тест
ГУ,Гиперурикемия
ГФ,Государственная фармакопея
ГХ,Газовая хроматография
ГЦК,Гепатоцеллюлярная карцинома
ГЦР,Гепатоцеллюлярный рак
ГЭБ,Гематоэнцефалический барьер
ГЭС/ХЭЛ,Гиперэозинофильный синдром/хронический эозинофильный лейкоз
ГнРГ,Гонадотропин-рилизинг гормон
ДАД,Диастолическое артериальное давление
ДАТ,Двойная антиагрегантная терапия
ДБ,День беременности
ДБЛС,Департамент безопасности лекарственных средств
ДВККЛ,Диффузная в-крупноклеточная лимфома
ДГ,День гестации
ДГК,Докозагексаеновая кислота
ДГТ,Дигидротестостерон
ДД,Диастолическая дисфункция
ДДБА,Длительнодействующие β2–агонисты
ДКИ,Доклиническое исследование
ДКТ,Длительная кислородотерапия
ДЛ,День лактации
ДЛП,Дислипидемии
ДЛТ,Дозолимитирующая токсичность
ДМ,Дерматомиозит
ДМСО,Диметилсульфоксид
ДН,Диабетическая нефропатия
ДНК,Дезоксирибонуклеиновая кислота
ДНФ,Динитрофенол
ДО,Длительность ответа
ДПД,Длительность потенциала действия
ДПП,Дипептидилпептидаза
ДПП-4,Дипептидилпептидаза-4
ДРЩЖ,Дифференцированный рак щитовидной железы
ДТ,Диспергируемые таблетки
ДЭ,Депрессивный эпизод
Е,Максимальная скорость раннего диастолического наполнения
ЕАЭС,Евразийский экономический союз
ЕС50,Полумаксимальная эффективная доза
ЕЭК,Евразийская экономическая комиссия
Ед,Единицы
ЖА,Желудочковая аритмия
ЖКТ,Желудочно-кишечный тракт
ЖНВЛП,Жизненно необходимые и важнейшие лекарственные препараты
ЖНЛВП,Жизненно необходимые и важнейшие лекарственные препараты
ЖХ-МСМС,Жидкостная хроматография с тандемной масс-спектрометрией
ЖХ/МС/МС,Жидкостная хроматография-тандемная масс-спектрометрия
ЗД,Западная диета
ЗПТ,Заместительная почечная терапия
ЗРУ,Заявление на получение регистрационного удостоверения
ЗСТ,Заболевания соединительной ткани
ИАЛ,Инвазивный аспергиллез легких
ИАПФ,Ингибиторы ангиотензинпревращающего фермента
ИАТ,Ингибирование агрегации тромбоцитов
ИБС,Ишемическая болезнь сердца
ИВЛ,Искусственная вентиляция легких
ИГХ,Иммуногистохимический анализ
ИЗЛ-ССД,Интерстициальные заболевания легких при системной склеродермии
ИИП,Идиопатические интерстициальные пневмонии
ИК,Инфракрасный
ИКН,Ингибиторы кальциневрина
ИЛ,Интерлейкин
ИЛ-6,Интерлейкин 6
ИЛАГ,Идиопатическая легочная артериальная гипертензия
ИЛФ,Идиопатический легочный фиброз
ИМ,Инфаркт миокарда
ИМПП,Инструкция по медицинскому применению препарата
ИМТ,Индекс массы тела
ИМбпST,Инфаркт миокарда без подъема сегмента st
ИМпST,Инфаркт миокарда с подъемом сегмента st
ИОТ,Ингибитор обратной транскриптазы
ИПЦИ,Ингибитор переноса цепи интегразы
ИРК,Индивидуальная регистрационная карта
ИСМ,Индолентный системный мастоцитоз
ИСТ,Иммуносупрессивная терапия
ИТП,Иммунная тромбоцитопения
ИФН,Интерферон
ИХТ,Иммунохимиотерапия
ИЦ,Исследовательский центр
Ингал.,Ингаляционный путь введения; в/в – внутривенный путь введения; п/о – пероральный путь введения; п/к – подкожный путь введения;
Кel,Константа скорости элиминации
КАК,Клинический анализ крови
КВ,Коэффициент вариации
"КВ, %",Коэффициент вариации
КГП,Кислотный гликопротеин
КДОЛЖ,Конечно-диастолический объем левого желудочка
КЖ,Качество жизни
КЖП,Канюлирование желчных протоков
КИО,Контрактная исследовательская организация
ККМГ,Каприлокапроилмакроголглицериды
КМ,Кожный мастоцитоз
КМД,Комитет по мониторингу данных
КПА,Кожная пассивная анафилаксия
КРР,Колоректальный рак
КРРПЖ,Кастрационно-резистентный рак предстательной железы
КС,Креатинин сыворотки
КТ,Компьютерная томография
КТВР,Компьютерная томография высокого разрешения
КФД,Комбинация фиксированных доз
КлКп,Клиренс креатинина
ЛC,Лекарственное средство
ЛCР,Лекарственное средство
ЛАГ,Легочная артериальная гипертензия
ЛВП,Липопротеиды высокой плотности
ЛГ,Лютеинизирующий гормон
ЛЖ,Левый желудочек
ЛЖВ,"Люди, живущие с вич"
ЛКМ,Лимфома из клеток мантии
ЛМЗ,Лимфома маргинальной зоны
ЛМЛ,Лимфома из малых лимфоцитов
ЛП,Левое предсердие
ЛПЛ,Липопротеинлипаза
ЛПОНП,Липопротеины очень низкой плотности
ЛПП,Лекарственное поражение печени
ЛПУ,Лечебно-профилактическое учреждение
ЛС,Лекарственное средство
ЛСК,Лиганд-связывающий карман
ЛСР,Лекарственное средство
ЛСС,Легочное сосудистое сопротивление
ЛСЭСП,Лекарственная сыпь с эозинофилией и системных проявлениями
ЛТ,Лучевая терапия
ЛЭК,Локальный этический комитет
М,Моль/л
МА,Микроальбуминурия
МВ,Макроглобулинемия вальденстрема
МД,Медицинская дирекция
МДМА,Метилендиоксиметамфетамин
МЕ,Международные единицы
МЗ,Министерство здравоохранения
МИК,Минимальная ингибирующая концентрация
МК,Мочевая кислота
МКЛ,Мантийноклеточная лимфомома
МКПК,Мононуклеарные клетки периферической крови
МКТ,Монокроталин
МЛВ,Межлекарственные взаимодействия
МЛЛ,Мелкоклеточная лимфоцитарная лимфома
МЛУ,Множественная лекарственная устойчивость
ММ,Множественная миелома
ММФ,Микофенолата мофетил
МНК,Мононуклеарные клетки
МНО,Международное нормализованное отношение
МО,Молекулярный ответ
МПЗ,Миелопролиферативные заболевания
МПКТ,Минеральная плотность костной ткани
МПН,Миелопролиферативное новообразование
МПО,Максимальный переносимый объем
МРЕ,Cредний фотоэффект (mean photo effect)
МРЛ,Местно-распространенный рак
МРТ,Магнитно-резонансная томография
МРЩЖ,Медуллярный рак щитовидной железы
МС,Метаболический синдром
МС НМГ,Международный стандарт низкомолекулярного гепарина
"МСР-1, МСР-2, МСР-3","Хемотаксический белок моноцитов 1, 2, 3"
МТХ,Метотрексат
МФК,Минимальная фунгицидная концентрация
МЦО,Малый цитогенетический ответ
МЭД,Минимально эффективная доза
Макс,Максимальное значение
Мин,Минимальное значение
Минздрав России,Министерство здравоохранения российской федерации
МкАТ,Моноклональные антитела
Н. квартиль,Нижний квартиль
Н2РА,Антагонисты гистамин-2-рецепторов
НbА1с,Гликированный гемоглобин
НАДФН,Никотинамидадениндинуклеотидфосфат
НВЛ,Неинвазивная вентиляция легких
НГЛТ-1,Натрий-глюкозный котранспортер 1-го типа
НИЗиП,Национальное исследование здоровья и питания
НИИ,Научно-исследовательский институт
НКК,Нижний контроль качества
НКУ,Независимое контрольное учреждение
НМ-КРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
НМРК,Немеланомный рак кожи
ННК,Независимый наблюдательный комитет
ННР,Непредвиденная нежелательная реакция
НОАК,Новые оральные антикоагулянты
НПВ,Нижняя полая вена
НПКО,Нижний предел количественного определения
НПЭ,Неблагоприятные побочные эффекты
НР/СНР,Нежелательная/серьезная нежелательная реакция
НС,Нестабильная стенокардия
НСV,Вирус гепатита с (hepatitis c virus)
НУП,Натрийуретический пептид
НФГ,Нефракционированный гепарин
НХЛ,Неходжкинская лимфома
НЭК,Независимый этический комитет
НЭО,Нейроэндокринные опухоли
НЯ/СНЯ,Нежелательное/серьезное нежелательное явление
НтИОТ,Нуклеотидный ингибитор обратной транскриптазы
ОА,Очаговая алопеция
ОАК,Общий анализ крови
ОАМ,Общий анализ мочи
ОАТ,Переносчик органических анионов
ОАТР,Переносчик органических анионов полипептида
ОВ,Общая выживаемость
ОГЭП,Острый генерализованный экзантематозный пустулез
ОИ,Оппортунистические инфекции
ОИМ,Острый инфаркт миокарда
ОИП,Обычная интерстициальная пневмония
ОКС,Острый коронарный синдром
ОКСбпST,Острый коронарный синдром без подъема сегмента st
ОКСпST,Острый коронарный синдром с подъемом сегмента st
ОЛ,Острый лейкоз.
ОЛЛУ,Оценке локальных лимфатических узлов
ОМД,Отдел медицинской документации
ОНМК,Острое нарушение мозгового кровообращения
ООО,Общество с ограниченной ответственностью
ОПП,Острое почечное повреждение
ОПСС,Общее периферическое сопротивление сосудов
ОСН,Острая сердечная недостаточность
ОСТ,Переносчик органических катионов
ОТТС,Операция ортотопической трансплантации сердца
ОФВ1,Объем форсированного выдоха за одну секунду
ОФТ,Оптимизированная фоновая терапия
ОХ,Общий холестерин
ОЧО,Общая частота ответа
ОШ,Отношение шансов
Опросник EQ5D,Европейская шкала оценки качества жизни по пяти аспектам (european quality of lifefive domain scale)
ПАГ,Парааминогиппуровая кислота
ПВА,Полная выборка анализов
ПВДХ,Поливинилиденхлорид
ПВП,Поливинилпирролидон
ПВТ,Противовирусная терапия
ПВХ,Поливинилхлорид
ПГА2,Простагландин а2
ПГГП,Пероральные гипогликемические препараты
ПГД2,Простагландин д2
ПГО,Полный гематологический ответ
ПГТТ,Пероральный глюкозотолерантный тест
ПД,Потенциал дейтсвия
ПЖ,Поджелудочная железа
ПЗ,Прогрессирование заболевания
ПИН,Потреблители инъекционных наркотиков
ПК,Периферическая кровь
ПКТ,Первичная конечная точка
ПЛЛ,Пациенто-лет лечения
ПМЛ,Прогрессирующая множественная лейкоэнцефалопатия
ПМО,Полный молекулярный ответ
ПМТ,Прибавка массы тела
ПМФ,Первичный миелофиброз
ПНЖК,Полиненасыщенные жирные кислоты
ПНМК,Переходящее нарушение мозгового кровообращения
ПОЛ,Перекисное окисление липидов
ППГ,Глюкоза в плазме крови после приема пищи
ППД,Препарат прямого действия
ПППД,Противовирусные препараты прямого действия
ППТ,Площадь поверхности тела
ПР,Полная ремиссия
ПСВ,Пиковая скорость выдоха
ПСМ,Производные сульфонилмочевины
ПССП,Пероральные сахароснижающие препараты
ПТ,Протромбиновое время
ПТИ,Протромбиновый индекс
ПТТГ,Пероральный тест толерантности к глюкозе
ПХТ,Полихимиотерапия
ПЦО,Полный цитогенетический ответ
ПЦР-РВ,Реакция полимеразной цепной реакции в реальном времени
ПЭ,Полный эффект
ПЭГ,Полиэтиленгликоль
ПЭП,Противоэпилептические препараты
Пост-ИП МФ,Постполицитемический миелофиброз
РА,Ревматоидный артрит
РААС,Ренин-ангиотензин-альдостероновая система
РБВ,Рибавирин
РГЛГ,Рилизинг-гормон лютеинизирующего гормона
РЙТ,Радиойодтерапия
РМЖ,Рак молочной железы
РН,Радикальная нефрэктомия
РНК,Рибонуклеиновая кислота
РНКаза Н,Рибонуклеаза н
РНЛ,Ранее не леченный
РО,Перорально
РПЖ,Рак предстательной железы
РПТХ,Реакция «трансплантат против хозяина»
РТМ,Рак тела матки
РТПХ,Реакция «трансплантат против хозяина»
РТХЗ,Пентраксин-3
РУ,Регистрационное удостоверение
РЩЖ,Рак щитовидной железы
РЭ,Рак эндометрия
С0,Минимальная концентрация лекарственного препарата в цельной крови
СL,Общий плазменный клиренс
СYР,Цитохром р450
Сmax,Максимальная концентрация в плазме крови
САГК,Суберанилогидроксамовая кислота
САР,Снижение абсолютных рисков
САС,Симпатоадреналовая система
СБН,Стимуляция блуждающего нерва
СГ,Спонтанная гипертензия
СД,Сахарный диабет
СД 2,Сахарный диабет 2 типа
СД1,Сахарный диабет 1 типа
СД2Т,Сахарный диабет 2 типа
СЖК,Свободные жирные кислоты
СЖП,Содержание железа в печени
СЗ,Стабилизация заболевания
СЗОЭ,Синдром задней обратимой энцефалопатии
СКВ,Системная красная волчанка
СКК,Средний контроль качества
СКФ,Скорость клубочковой фильтрации
СМ-АГН,Системный мастоцитоз с ассоциированным гематологическим новообразованием
СМЖ,Спинномозговая жидкость
СН,Сердечная недостаточность
СН-нФВ,Сн с низкой фракцией выброса
СННР,Серьезная непредвиденная нежелательная реакция
СНсСФВ,Сердечная недостаточность с сохраненной фракцией выброса
СОАС,Синдром обструктивного апноэ сна
СОД,Суммарная доза облучения
СОР,Снижение относительных рисков
СОЭ,Скорость оседания эритроцитов
СП,Санитарные правила
СРАР,"Срар-терапия (continuous positive airway pressure),режим искусственной вентиляции лёгких постоянным положительным давлением"
СРБ,С-реактивный белок
СС,Системный склероз
ССL19,Воспалительный белок макрофагов 3β
ССД,Синдром стивенса-джонсона
ССЗ,Сердечно-сосудистые заболевания
ССЗОА,"Сердечно-сосудистое заболевание, обусловленное атеросклерозом"
ССИ,Скорость секреции инсулина
ССО,Сердечно-сосудистые осложнения
ССП,Сахароснижающие препараты
СТ,Стабилизация
СТК,Саркома тучных клеток
СТО,Стандартный образец
СЧР,Совокупная частота рецидивов
СЭГА (SEGA),Cубэпендимальная гигантоклеточная астроцитома
Т1/2,Период полувыведения лекарственного вещества
Тmax,Время достижения максимальной концентрации
ТАА,Тяжелая апластическая анемия
ТБ,Туберкулез
ТВ,Тромбиновое время
ТГ,Триглицериды
ТГВ,Тромбоз глубоких вен
ТГСК,Трансплантация гемопоэтических стволовых клеток
ТЕМ,Просвечивающая электронная микроскопия
ТЗД,Тиазолидиндионы
ТИА,Транзиторная ишемическая атака
ТКБ,Тирозинкиназа брутона
ТКБ/ BTK,Тирозинкиназа брутона
ТКИ,Ингибитор тирозинкиназа
ТКЛ,Тучноклеточный лейкоз.
ТКПО,"Таблетки кишечнорастворимые, покрытые оболочкой"
ТКС,Топические кортикостероиды
ТН,Торговое наименование
ТНП,Терминальная почечная недостаточность
ТНРМЖ,Трижды негативный рак молочной железы
ТОССЗ,Тяжелые осложнения сердечно-сосудистых заболеваний
ТПО,"Таблетки, покрытые пленочной оболочкой"
ТППО,"Таблетки, покрытые пленочной оболочкой"
ТС,Туберозный склероз
ТСМ,Тлеющий системный мастоцитоз
ТСПН,Терминальная стадия почеченой недостаточности
ТТГ,Тиреотропный гормон
ТТП,Тромботическая тромбоцитопеническая пурпура
ТФ,Тканевой фактор
ТФР,Трансформирующий фактор роста
ТЭЛА,Тромбоэмболия легочной артерии
ТЭН,Токсический эпидермальный некроз
УВО,Устойчивый вирусологический ответ
УВЭЖХ-qTOF/МС/МС,Ультравысокоэффективная жидкостная хроматография с квадрупольной времяпролетной тандемной масс-спектрометрией
УДФ,Уридин-5-дифосфат глюкуронилтрансфераза
УДФГТ,Уридин-5'-дифосфат-глюкуронозилтрансфераза
УЗИ,Ультразвуковое исследование
УКП,Улучшение клинических показателей
УЛП,Ушко левого предсердия
УФ,Ультрафиолет
Уд/мин,Удары в минуту
ФА,Фаза акселерации
ФАБ,Франко-американо-британская классификация
ФБУН,Федеральное бюджетное учреждение науки
ФВ,Фракция выброса
ФГА,Фитогемагглютинин
ФГБУ,Федеральное государственное бюджетное учреждение
ФДГ,Фтордезоксиглюкоза
ФДЭ,Фосфодиэстераза
ФЖ,Фибрилляция желудочков
ФЗ,Федеральный закон
ФКД,Фиксированная комбинация доз
ФМА,Форболмиристатацетат
ФНО,Фактор некроза опухоли
ФНО-α,Фактор некроза опухоли альфа
ФП,Фибрилляция предсердий
ФР,Фактор риска
ФСГ,Фолликулостимулирующий гормон
ФТ,Фоновая терапия
ФТП,Функциональные тесты печени
Физиол. Конц.,В пределах физиологической концентрации
ХБП,Хроническая болезнь почек
ХВГС,Хронический вирусный гепатит с
ХГЧ,Хорионический гонадотропин человека
ХЛЛ,Хронический лимфоцитарный лейкоз
ХММЛ,Хронический миеломоноцитарный лейкоз
ХПН,Хроническая почечная недостаточность
ХСНпФВ,Хроническая сердечная недостаточность с промежуточной фракцией выброса левого желудочка
ХСНсФВ,Хроническая сердечная недостаточность с сохранённой фракцией выброса левого желудочка
ХФ,Хроническая фаза
Хс-ЛПВП,Холестерин липопротеинов высокой плотности
Хс-ЛПНП,Холестерин липопротеинов низкой плотности
Хс-ЛПОНП,Холестерин липопротеинов очень высокой плотности
ЦК,Цельная кровь
ЦМВ,Цитомегаловирусная инфекция
ЦОГ,Циклооксигеназа
ЦОГ-1,Циклооксигеназа 1 типа
ЦОГ-2,Циклооксигеназа 2 типа
ЦП,Цирроз печени
ЧБНЛ,Число больных необходимое для лечения
ЧДД,Частота дыхательных движений
ЧКЗ,Частота контроля заболевания
ЧКУ,Частота клинического улучшения
ЧКУ16,Частота клинического улучшения на сроке 16 недель
ЧКУ24,Частота клинического улучшения на сроке 24 недели
ЧО,Частичный ответ
ЧП-ЭхоКГ,Чреспищеводная эхокардиография
ЧСА,Человеческий сывороточный альбумин
ЧСС,Частота сердечных сокращений
ЧЭ,Частичный эффект
ЩЖ,Щитовидная железа
ЭД,Эффективная (пероральная) доза
ЭПК,Эйкозапентаеновая кислота
ЭСБКК,Эмболия сосудов большого круга кровообращения
ЭХОКГ,Эхокардиография
ЭЭ,Этинилэстрадиол
ЭхоКГ,Эхокардиография
ЮИА,Ювенильный идиопатический артрит
ЮНЕЙДС,Объединенная программа организации объединенных наций (оон) по вич/спид
ЯК,Язвенный колит
ЯОП,Ядро одиночного пути
ЯР,Ядерный рецептор
анти-VEGF,Антитела к фактору роста эндотелия сосудов
г,Грамм
иSGLT2   (иНГЛТ2),Ингибиторы глюкозо-натриевого симпортера 2
иДПП-4,Ингибиторы дипетидилпептидазы-4
иНГЛТ-2,Ингибитор натрий-глюкозного котранспортера 2-го типа
иНГЛТ-2/ НГЛТ-2,Ингибиторы натрий-глюкозного котранспортера 2-го типа
иФДЭ-5,Ингибитор фосфодиэстеразы типа 5
кг,Килограмм
кфСРПВ,Каротиднофеморальная скорость распространения пульсовой волны
л,Литр
м,Метр
мБКР,Метастатический базальноклеточный рак кожи
мГРЧПЖ,Метастатический гормоночувствительный рак предстательной железы
мГЧРПЖ,Метастатический гормон-чувствительный рак предстательной железы
мКРПЖ,Метастатический кастрационный рак предстательной железы
мКРРПЖ,Метастатический кастрационно-резистентный рак предстательной железы
мКЧРПЖ,Метастатический кастрационно-чувствительный рак предстательной железы
мПКР,Метастатический почечно-клеточный рак
мРМЖ,Метастатический рак молочной железы
мРНК,Матричная рибонуклеиновая кислота
мг,Миллиграмм
мг/кг,Миллиграмм на килограмм
мес.,Месяц(ев)
мин,Минута
мкг,Микрограмм
мкг/кг,Микрограмм на килограмм
мкмоль,Микромолль
мл,Миллилитр
мм,Миллиметр
ммоль,Миллимолль
мрБКР,Местно-распространенный базальноклеточный рак кожи
мтДНК,Митохондриальная дезоксирибонуклеиновая кислота
нПКР,Несветлоклеточный почечно-клеточный рак
нг,Нанограммы
нмКРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
оРТПХ,Острая реакция «трансплантат против хозяина»
п/з,Поле зрения
п/к,Подкожный
п/о,Пероральный
пег/пэг-ИФН,Пегилированный интерферон
рН,Показатель кислотности
рСКФ,Расчетная скорость клубочковой фильтрации
рт.ст.,Ртутного столба
сБПВП,Синтетические базисные противовоспалительные препараты
сПКР,Светлоклеточный почечно-клеточный рак
сЮА,Системный юношеский артрит
срсСАД,Снижение среднего систолического артериального давления
сут,Сутки
