abbreviation,description
HR+,Гормон-рецептор-положительный (hormone receptor-positive)
HR+ РМЖ,Положительный по гормональным рецепторам рак молочной железы
HRV,Человеческий риновирус
HSA,Человеческийсывороточный альбумин
HUVEC,"Human umbilical vein endothelial cell, эндотелиальные клетки пупочной вены человека"
HUVEC,Модель эндотелиальных клеток пупочной вены человека (human umbilical vein endothelial cells)
Hb,Гемоглобин
HbA1c,Гликированный гемоглобин
HbA1c,Гликозилированный гемоглобин
HbsAg,"Hepatits b surface antigen, поверхностный антиген вируса гепатита в"
Hh,Сигнальный путь hedgehog
Ht,Гематокрит
HСV,Hepatitis с virus / вирус гепатита с
HСV,"Hepatitis с virus, вирус гепатита с"
HСV,"Hepatitis с virus, вирус гепатита с (вгс)"
IAC,Независимый экспертный комитет (independent adjudication committee)
IARC,"International agency for research on cancer, международное агентство по изучению рака"
IB,Вестерн-блоттинг
IBDQ,Опросник для оценки воспалительных заболеваний кишечника (inflammatory bowel disease questionnaire)
IBE,"Iron-binding equivalent, железо-связывающий эквивалент"
IC50,50% ингибирующая концентрация
IC50,Half-maximal inhibitory concentration / концентрация полумаксимального ингибирования
IC50,"Inhibition concentration, ингибирующая концентрация"
IC50,Концентрации полумаксимального ингибирования
IC50,Концентрация полумаксимального ингибирования
IC50,"Концентрация полумаксимального ингибирования (концентрация препарата, при которой происходит ингибирование связывания 50% рецепторов).the half maximal inhibitory concentration."
IC50,"Концентрация, обеспечивающая половину от максимального ингибирования (полумаксимальная ингибирующая концентрация)"
IC50,Концентрация полумаксимального ингибирования
IC50,Медианная ингибирующая концентрация
IC50,Медианная ингибирующая концентрация (median inhibitory concentration)
IC50,Полуингибирующая концентрация
ICAM-1,Молекула межклеточной адгезии 1
ICAM-1,Молекула межклеточной адгезии-1
ICH,"The international council for harmonization, международный совет по гармонизации"
ICH,Международная конференция по гармонизации (international conference for harmonization)
ICH,Международный совет по гармонизации
ICH,Международный совет по гармонизации (international council for harmonisation)
ICH,Международный совет по гармонизации gcp (надлежащей клинической практики)
ICR,Независимая централизованная оценка (independent central review)
ID,Идентификационный код (номер) пациента
IDE,"Insulin degrading enzyme, инсулино-деградирующий фермент"
IDF,"International diabetes federation,международная диабетическая федерация"
IDV,Индинавир
IFN,Интерферон (interferon)
IGA,Шкала тяжести атопического дерматита
IGF,Инсулиноподобный фактор роста (insulin-like growth factor)
IGF1,Инсулиноподобный фактор роста 1
IL,Интерлейкин
IL,Интерлейкин (interleukin)
IL,Интерлейкины (interleukins)
IL-6,Интелейкин-6
IMAP,Анализ поляризации флуоресценции на основе сродства ионов
IMDC,"International metastatic renal cell carcinoma database consortium, международный консорциум по лечению метастатического рака почки"
IND,Investigational new drug
INF,Интерферон
INSTI/ИПЦИ,Ингибитор переноса цепи интегразы
IP,Иммунопреципитация
IP,Рецептор простациклина (prostaglandin i2 receptor)
IPSS-R,"Revised international prognostic scoring system, пересмотренная интернациональная прогностическая шкала"
IQR,Межквартильный диапазон
IQR,Межквартильный размах
IR,Немедленное высвобождение (immediate release)
IRR,Коэффициент инцидентности (incident rate ratio)
ISR,Скорость секреции инсулина
ISR/G,Скорость секреции инсулина с поправкой на глюкозу
ITT,Выборка «по назначенному лечению» (intent-to-treat)
ITT,Популяции по назначенному лечению
ITT,"Популяция пациентов, получившая хотя бы 1 дозу исследуемого препарата (intention to treat population)"
ITT-популяция,Популяция всех рандомизированных пациентов (intention-to-treat)
IUPAC,Международный союз теоретической и прикладной химии (international union of pure and applied chemistry)
IWCLL,Критерии международного семинара по хроническому лимфоцитарному лейкозу
Ig,Иммуноглобулин
Ig,Иммуноглобулин (immunoglobulin)
IgA,Иммуноглобулин a
IgG,Иммуноглобулин g
JAK,Янускиназа (janus kinase)
JAK-киназы,"Janus activated kinases, янус-активированные киназы"
JAK1 и JAK2,Янус-киназа 1 и 2
Jak-2,"Janus kinase 2, янус-киназа 2 типа"
Jmax,"Максимальный поток, опосредованный переносчиком"
K-BILD,Краткий опросник кинга по интерстициальным болезням легких (king's interstitial lung disease questionnair)
KIТ,"Протоонкогенная тирозин-протеинкиназа, кодируется геном c-kit"
KLH,Гемоцианин лимфы улитки (keyhole limpet hemocyanin)
KRAS,"Протоонкоген, кодирующий мембранный белок, мутации в семействе белков ras"
Kd,Константа равновесной диссоциации
Kel,Константа скорости элиминации лекарственного вещества
Ki,"Inhibitory constant, константа ингибирования"
Ki,Константа ингибирования
Km,Константа михаэлиса
LAmB,Липосомальный амфотерицин в
LBQ657,"Sacubitriliat, активный метаболит сакубрила"
LC-MS/MS,"Liquid chromatography with tandem mass spectrometry, жидкостная хроматография с тандемной масс-спектрометрией"
LCX,Левая периферическая коронарная артерия
LD50,"50% lethal dose, среднелетальная доза"
LD50,Медианная летальная доза
LD50,Медианная летальная доза (median lethal dose)
LD50,"Показатель острой токсичности, доза вещества, которая вызывает гибель 50% всей экспериментальной популяции животных при любом пути его введения, за исключением ингаляционного"
LD50,Среднесмертельная доза
LD50,Среднесмертельная доза (median lethal dose)
LDH,Lactate dehydrogenase/лактатдегидрогеназа
LDV,Ледипасвир
LLNA,Оценка локальных лимфатических узлов
LLOQ,"Lower limit of quantitation, нижний предел количественного определения"
LLOQ,Нижний предел количественного определения
LNC,Пролиферативная реакция клеток лимфатических узлов
LOAEL,"Lowest-observed-adverse-effect level / наименьшая доза, оказывающая явное нежелательное действие"
LOAEL,"Минимальная доза препарата, приводящая к развитию наблюдаемых нежелательных явлений"
LOAEL,"Наименьшая доза, оказывающая явное нежелательное действие (lowest-observed-adverse-effect level)"
LOCF,"Last observation carried forward, использование последнего доступного (результата) наблюдения"
LOCF,"Анализ данных с учетом сведений о выбывших больных (last observation carried forward,)"
LOEL,"Минимальная доза, вызывающая обнаруживаемые эффекты"
LOEL,Наименьший наблюдаемый уровень воздействия
LOEL,Наименьший наблюдаемый уровень воздействия (lowest observed effect level)
LPV,Лопинавир
LPV/r,"Лопинавир, бустированный ритонавиром"
LPV/r,Лопинавир/ ритонавир
Lck,Лимфоцит-специфическая протеинтирозинкиназа
M,Самцы
M,Среднее арифметическое
M / MEAN,Среднее арифметическое
MACDP,Программа мониторинга врожденных пороков развития города атланта (metropolitan atlanta congenital defects program)
MACE,Категории серьезных неблагоприятных сердечно-сосудистых событий
MACE,Серьезные неблагоприятные сердечно-сосудистые события
MACE,Тяжелое нежелательное сердечно-сосудистое явление (major adverse cardiovascular event)
MACE,Тяжелые нежелательные сердечно-сосудистые явления (major adverse cardiac events)
MAO-B,Моноаминоксидаза b
MAPK,Митоген-активируемая протеинкиназа (mitogen-activated protein kinase)
MAPK,Митогенактивируемая киназа (mitogen-activated protein kinase)
MAPK,Митогенактивируемой киназы (mitogen-activated protein kinase)
MAT,"Субъекты, находящиеся на поддерживающей терапии при расстройстве, связанном с употреблением опиоидов"
MATE,Белок экструзии лекарственных препаратов и токсинов (multi-antimicrobial extrusion protein)
MATE,Мультирезистентный и токсина экструзии белок
MATE,Мультитранспортер  человеческих лекарственных препаратов и токсинов
MATE1,Белок множественной резистентности и выведения токсинов 1
MCH,Среднее содержание гемоглобина в эритроците
MCP-1,Моноцитарный хемотаксический белок-1 (monocyte chemotactic protein-1)
MD,"Mid-dose, средняя доза"
MDA,Малоновый диальдегид
MDCK,Клетки мадин-дарби почек собак (madin-darby canine kidney)
MDR,"Multidrug resistance proteins, белки множественной лекарственной устойчивости"
MDR,Ген множественной лекарственной устойчивости
MDRD,Изменения диеты при заболеваниях почек
MDRD,Модификация диеты при заболеваниях почек
MDRD,Рекомендуемая формула для определения скорости клубочковой фильтрации (modification of diet in renal disease)
MDZ,Мидазолам
MEAN,Среднее арифметическое
MED,Минимальная эффективная доза
MEK,Киназа митоген-активируемой протеинкиназы (mitogen-activated protein kinase kinase)
MEN2,Множественная эндокринная неоплазия 2-го типа
MER,"Протоонкогенная тирозин-протеинкиназа, кодируется геном mertk"
MF,"Вариант препарата, реализуемый на рынке"
MF,Матричный фактор
MHRD,Максимальная рекомендуемая человеку доза
MLR,Анализе смешанной лимфоцитарной реакции
MLR,Реакция смешивания лимфоцитов
MMAD,Масс-медианный аэродинамический диаметр (mass-median aerodynamic diameter)
MMC,Митомицин с
MMF,Микофенолата мофетил
MMRM,Модель смешанных эффектов для многократных измерений
MNC,Мононуклеарные клетки
MNLD,Maximum non-lethal dose (максимальная нелетальная доза)
MNLD,Максимальная нелетальная доза
MPA,Микофенолат натрия
MPE,Средний фотоэффект
MR,Модифицированное высвобождение (modified release)
MRHD,Максимальная рекомендуемая для человека доза (maximum recommended human dose)
MRHD,Максимальная рекомендуемая доза для человека
MRP,"Multidrug resistance-related protein, белок, связанный с множественной лекарственной устойчивостью"
MRP,Множественная лекарственная резистентность
MRP,"Протеин, связанный с множественной лекарственной устойчивостью (multidrug resistance-associated protein)"
MRT,"Mean residence time, среднее время пребывания в организме"
MRT,Среднее время пребывания в организме молекулы лекарственного вещества (mean residence time)
MRT,Среднее время удержания
MRT,Среднее время удерживания
MRT(0-24),Среднее время удерживания в течение 24 ч
MSDS,"Material safety data sheet, паспорт безопасности"
MSKCC,Мемориальный онкологический центр им. слоуна‒кеттеринга (memorial sloan–kettering cancer center)
MTD,Maximum tolerance dose/максимальная переносимая доза
MTD,"Maximum tolerated dose, максимальная переносимая доза"
MTD,Максимально толерантная доза
MVC,Маравирок
MedDRA,Medical dictionary for regulatory activities / медицинский словарь терминов нормативно-правовой деятельности
MedDRA,Медицинский словарь для нормативно-правовой деятельности
MedDRA,Медицинский словарь нормативно-правовой деятельности (medical dictionary for regulatory activities)
MedDRA,Международный медицинский словарь нежелательных реакций
MedDRA,"Международный словарь нежелательных реакций, возникающих при применении лекарственных препаратов для медицинского применения"
MЛВ,Межлекарственное взаимодействие
N.c.,Не рассчитано (not calculated)
NAC,N-ацетилцистеин
NADPH,Никотинамиддинуклеотидфосфат
NAPSI,Индекс тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI100,100% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI50,50% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI75,75% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NCI,National cancer institute / национальный институт рака
NCI,Комплексная информация о раке
NCI,Национальный институт рака (national cancer institute)
NCI CTCAE,Общие терминологические критерии нежелательных явлений национального института онкологии сша (national cancer institute common terminology criteria for adverse events)
NCI-ODWG,"Национальный институт онкологии, рабочая группа по нарушению функции органа (national cancer institute classifications for hepatic dysfunction)"
NEP,Неприлизин
NF-kB (RANK),Рецептор-активатор ядерного транскрипционного фактора
NF-κB,"Транскрипционный фактор (ядерный фактор «каппа-би»),   nuclear factor kappa-light-chain-enhancer of activated b cells"
NFV,Нелфинавир
NHE,Na+/h+-обменники
NHS,N-гидроксисукцинимид
NHS,Нормальной человеческой сыворотки
NIH,"National institutes of health, национальный институт здоровья"
NK,Естественные киллеры
NK,Естественный киллер (natural killer)
NK,Натуральные киллеры
NK2,Рецептор тахикининов типа 2
NO,Оксид азота
NOAEL,"No observed adverse effect level / максимальная доза препарата, не приводящая к развитию наблюдаемых нежелательных эффектов"
NOAEL,"No observed adverse effect level, максимальная доза препарата, не приводящая к развитию наблюдаемых нежелательных эффектов"
NOAEL,"No observed adverse effect level/максимальная доза, не вызывающая обнаруживаемого вредного воздействия"
NOAEL,"Доза препарата, не приводящая к развитию наблюдаемых нежелательных явлений."
NOAEL,"Доза, не оказывающая видимого нежелательного эффекта"
NOAEL,"Доза, не оказывающая наблюдаемого нежелательного эффекта"
NOAEL,"Доза, не оказывающая явного нежелательного действия (no observed adverse effect level)"
NOAEL,"Максимальная доза препарата, не приводящая к развитию наблюдаемых нежелательных эффектов (no adverse event level)"
NOAEL,"Максимальная доза, не вызывающая обнаруживаемого вредного воздействия на здоровье человека"
NOAEL,"Максимальная доза, не оказывающая явного нежелательного эффекта"
NOAEL,Уровень отсутствия наблюдаемого неблагоприятного воздействия
NOAEL,"Уровень препарата, при котором не наблюдается неблагоприятного воздействия"
NOEC,"Концентрация, не вызывающая видимых отрицательных эффектов"
NOEL,"No observed effect level, максимальная доза препарата, не приводящая к развитию наблюдаемых эффектов"
NOEL,Доза без наблюдаемого эффекта (no observable effect level)
NOEL,"Доза, не вызывающая наблюдаемых эффектов"
NOEL,Максимальная доза без наблюдаемых эффектов
NOEL,Максимальная недействующая доза (no observed effect level)
NOEL,Уровень отсутствия наблюдаемого воздействия
NOEL,"Уровень, при котором не наблюдается воздействия (уровень отсутствия наблюдаемых побочных эффектов; no observed effect level)"
NPH,Человеческий инсулин нейтрал протамин хагедорн
NPR,"Natriuretic peptide receptor, натрийуретический рецептор"
NPY,Нейропептид y
NR,Нейтральный красный
NRAS,"Онкоген n-ras, кодирующий мембранный белок, мутации в семействе белков ras"
NRS,Числовая шкала оценки зуда
NRVM,Миоциты желудочков новорожденных крыс
NS3/4A,Неструктурный белок 4а
NS5A,Неструктурный белок 5а
NSAA,Нестероидный антиандогенный препарат (nonsteroidal antiandrogen)
NSTEMI,"Non-st-elevation myocardial infarction, инфаркт миокарда без подъема сегмента st"
NT-proBNP,N-концевой фрагмент предшественника мозгового натрийуретического пептида
NT-proBNP,N-терминальный фрагмент предшественника мозгового натрийуретического пептида (n-terminal pro-brain natriuretic peptide)
NTDT,"Non-transfusion-dependent thalassemias, талассемии, не зависящие от переливания крови"
NTEL,"No toxic effect level, уровень препарата без токсического эффекта"
NVP,Невирапин
NYHA,Нью-йоркская ассоциация кардиологов
NYHA,Нью-йоркской кардиологической ассоциации (new york heart association)
NZW,Белые новозеландские (кролики) (new zealand white)
Numb-associated kinase,Члены семейства нечувствительных киназ
O2,Молекулярный кислород
OARAC,Консультативный совет сша по исследованиям в области спид (the office of aids research advisory council)
OAT,Белок-переносчик органических анионов (organic anion transporter)
OAT,Транспортер органических анионов (organic anion transporter)
OAT,Транспортеры органических анионов
OAT1,Транспортер органических анионов 1
OATP,"Organic anion transport protein, транспортный полипептид органических анионов"
OATP,"Полипептид, переносящий органические анионы"
OATP,"Полипептид, транспортирующий органические анионы (organic anion-transporting polypeptide)"
OATP,Полипептидный переносчик органических анионов (organic anion transporting polypeptide)
OATP,Транспортеры органических анионов
OATP,Транспортный полипептид органических анионов (organic anion transporting polypeptide)
"OATP1B1, OATP1B3","Ингибиторы полипептидов 1b1 и 1b3, переносящих органические анионы"
OCT,"Organic cation transporter, транспортер органических катионов"
OCT,Белки-переносчики органических катионов (оrganic cation transporter)
OCT,Белок-переносчик органических катионов (organic cation transporter)
OCT,Транспортер органических катионов
OCT,Транспортеры органических катионов
OCT2,Переносчик органических катионов 2 (organic cation transporter 2 )
OR,Отношение шансов (odds ratio)
OS,Общая выживаемость
OVA,Овальбумин
P-gp,P-гликопротеин
P-gp,P-гликопротеин (p-glycoprotein)
P-gp,Гликопротеин р
P-gp,Р-гликопротеин
PAI-1,Ингибитор активатора плазминогена
PAQLQ,Опросник оценки качества жизни - детская версия опросника aqlq
PARP,Поли (адф-рибоза)-полимераза
PASI,Улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PASI75,75% улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PAWP,Давление заклинивания в легочной артерии (pulmonary arterial wedge pressure)
PBMC,Мононуклеарные клетки периферической крови (peripheral blood mononuclear cells)
PBMC,Мононуклеарные клетки периферической крови человека
PBMC,Мононуклеарных клеток периферической крови
PBPK,"Physiologically based pharmacokinetic modelling, физиологически обоснованное фармакокинетическое моделирование"
PBPK,Физиологически обоснованное фармакокинетическое моделирование
PBT,"Стойкие, биоаккумулятивные токсичные вещества"
PCA,Пассивная кожная анафилаксии (passive cutaneous anaphylaxis)
PCSA,Возможно клинически значимое отклонение
PCWG2,Рабочая группа 2 по клиническим исследованиям рака предстательной железы (prostate cancer clinical trials working group 2)
PD-1,Белок запрограммированной гибели клеток-1 (programmed cell death protein-1)
PD-L1,Лиганд запрограммированной смерти-1 (programmed death ligand-1)
PD/ ФД,Фармакодинамика
PDGFR,"Platelet derived growth factor receptor, рецептор тромбоцитарного фактора роста"
PDGFR,"Platelet derived growth factor receptor, рецепторы фактора роста тромбоцитов"
PDGFR,Рецептор тромбоцитарного фактора роста
PDGFR,Рецепторы к тромбоцитарному фактору роста α (platelet-derived growth factor receptor-α)
PEP,Первичная конечная точка оценки эффективности и переносимости
PGA,Общая оценка врачом (physician’s global assessment)
PHD,"Prolyl hydroxylase domain (enzyme), (белок) пролилгидроксилазного домена"
PHE,Фенилэфрин
PI3K,Фосфоинозитол-3-киназа (phosphoinositide 3-kinase)
PIB,Пибрентасвир
PIF,Коэффициент фотораздражения
PK/ ФК,Фармакокинетика
PKB,"Protein kinase b, протеинкиназа тип в"
PND,Поснатальный день
PP,"Population per-protocol, популяция “по протоколу”"
PP,"Пациенты, завершившие исследование по протоколу (per protocol)"
PPAR-γ,"Рецепторы, активируемые пероксисомными пролифераторами"
PQ,Интервал между волной r и интервал qrs сердечного ритма на электрокардиограмме
PR,Рецепторы прогестерона (progesterone receptor)
PRL,Пролактин (prolactin)
PSADT,Время удвоения простатспецифического антигена
PSS,"Phenotypic susceptibility score, оценка фенотипической восприимчивости"
PT,Предпочтительный термин (preferred term)
PT,Термин предпочтительного употребления (preferred term)
PTEN,"Фосфатаза с двойной субстратной специфичностью, продукт гена (phosphatase and tensin homolog deleted on chromosome)"
PTLD,Посттрансплантационный лимфопролиферативный синдром
PVR,Легочное сосудистое сопротивление (pulmonary vascular resistance)
PWID,"Субъекты, употребляющих инъекционные наркотики"
PXR,Прегнан-x-рецептор (pregnan-x-receptor)
PXR,Рецептор прегнана x
PYE,Пациенто-лет воздействия
PgR,Прогестероновый рецептор (progesterone receptor)
PgR+,Позитивная по рецептору прогестерона [опухоль]
Pgp,P-гликопротеин
Pgp,Protein gen product/белковый гликопротеин
Ph,"Philadelphia chromosome, «филадельфийская» хромосома"
Ph+,"Клетки, содержащие филадельфийскую хромосому"
PtGA,Шкала общей оценки пациентом заболевания (patient global assessment of disease)
Ptch1,12-сегментный трансмембранный рецептор patched
QD,Ежедневно
QLQ,Опросник для оценки качества жизни (quality of life questionnaire)
QRS,"Желудочковый комплекс, который регистрируется во время возбуждения желудочков сердца на электрокардиограмме"
QT,Расстояние от начала комплекса qrs до завершения зубца t
QT,Расстояние от начала комплекса qrs до завершения зубца t на электрокардиограмме
QTcB,"Ширина интервала qt, скорректированная по формуле базетта"
QTcF,"Qt- интервал, скорректированный по формуле fredericia"
QTcF,"Интервал qt, скорректированный с использованием формулы фредеричиа"
QTcF,"Ширина интервала qt, скорректированная по формуле фридеричии"
QWBA,Количественная авторадиография всего тела
RAL,Ралтегравир
RAP,Популяция анализа резистентности
RAS,Малый g-белок (rat sarcoma virus)
RAV,"Вариант, ассоциированный с резистентностью"
RAV,"Вариант, связанный с резистентностью"
RBC,Эритроцит
RBV,Рибавирин
RDW,Ширина распределения эритроцитов
RECIST,Критерии recist– критерии ответа солидных опухолей на терапию (response evaluation criteria in solid tumors)
RECIST,Критерии оценки ответа при солидных опухолях
RECIST,Критерии оценки ответа при солидных опухолях (response evaluation criteria in solid tumors)
RECIST,Критерииоценкиответасолидныхопухолей (response evaluation criteria in solid tumours)
RF,Ревматоидный фактор
RGS2,Регулятор передачи сигналов g-белка 2
RIF,Рифампин
ROS,"Reactive oxygen species, активные формы кислорода"
ROS1,"Протоонкогенная тирозин-протеинкиназа ros, кодируется геном ros1"
RPV,Рилпивирин
RQ,Дыхательный коэффициент
RR,Относительный риск (relative risk)
RR,Отношение рисков (risk ratio)
RR,Отношение рисков/ отношение долей (risk ratio/ rate ratio)
RSD,"Residual standard deviation, остаточное стандартное отклонение"
RSV,Респираторно-синцитиальный вирус
RT,Обратная транскриптаза
RT,Обратная транскриптаза (reverse transcriptase)
RTV,Ритонавир
"RTV, r",Ритонавир
RW,Реакция вассермана
Rac,Значения индекса накопления
Rac,Коэффициент накопления
Ras,"Retrovirus-associated sarcoma gene, ген, связанный с саркомой, вызываемой ретровирусом у крыс"
RdRp,Рнк-зависимая рнк полимераза
RЕТ,"Тирозинкиназный рецептор,, локализован на хромосоме 10 (10q11.2) (rearranged during transfection)"
SALT,Шкала оценки степени тяжести алопеции
SARS-CoV-2,"Новый коронавирус, вызвавший пандемию covid-19"
SCAR,"Severe cutaneous adverse reaction, серьезные кожные нежелательные реакции"
SCF,Фактор стволовых клеток (stem cell factor)
SCID,Тяжелый комбинированный иммунодефицит
SCORE,10-летний абсолютный риск фатальныхсердечно-сосудистых осложнений для лиц в возрасте 40-65 лет (systematic coronary risk evaluation)
SD,Sprague dawley - линия беспородных крыс-альбиносов
SD,Спрег-доули (sprague dawley) (крыса)
SD,Среднеквадратичное (стандартное) отклонение
SD,Стандартное отклонение
SDAI,Упрощенный индекс активности болезни
SDF,Фактор стромальных клеток (stromal cell-derived factor)
SE,Стандартная ошибка
SEM,"Standard error of mean, стандартная ошибка среднего"
SEM,Стандартная ошибка среднего
SF-36,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов (short form 36 item)"
SF-36v2,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов версия 2 (short form item 36 version 2)"
SGLT-2,Ингибиторы натрий-глюкозного контранспортера
SGLT1,Натрий-глюкозный котранспортер 1-го типа
SGLT2,Ингибиторы натрий-глюкозного контранспортера (sodium-glucose cotransporter-2 inhibitors)
SGLT2,Натрий-глюкозный котранспортер 2-го типа
SGRQ,Анкета госпиталя святого георга для оценки дыхательной функции (saint george’s respiratory questionnaire)
SJS,Синдром стивенса-джонсона
SLD,Сумма наибольших диаметров
SMO,7-сегментый трансмембранный белок smoothend
SMQ,Стандартизованный запрос по терминам meddra (standardized meddra query)
SNP,Однонуклеотидный полиморфизм
SOC,Класс системы органов (system organ class)
SOC,Системно-органный класс (system organ class)
SOC,Системный органный класс (system organ class)
SOD,Супероксиддисмутаза
SOF,Софосбувир
SQV,Саквинавир
SQV/r,Саквинавир/ ритонавир
SSC,Подсчет импульсов в твердой фазе (solid scintillation counting)
STAT,"Signal transducer and activator of transcription, семейство сигнальных белков и активаторов транскрипции"
STAT,Передатчик сигнала и активатор транскрипции (signal transducers and activators of transcription)
STAT,Переносчик сигнала и активатор транскрипции (signal transducer and activator of transcription)
STEMI,"St-elevation myocardial infarction, инфаркт миокарда с подъемом сегмента st"
STZ,Стрептозотоцин
SUCRA,Поверхность под кривой совокупного ранжирования (surface under the cumulative ranking)
SVR12,Устойчивый вирусологический ответ через 12 недель после прекращения лечения
SYE,Пациенто-лет применения препарата
Src,Протоонкогенная протеинтирозинкиназа
SТАТ,Транспортеры сигнала и активаторы транскрипции
T-20,Энфувиртид
T/C,Тест/контроль
T1/2,Период полувыведения
T1/2,Период полувыведения из плазмы крови
T1/2,Период полувыведения]
T1/2β,Терминальный период полувыведения
TAC,Такролимус
TAF,Тенофовир алафенамид
TAF,Тенофовира алафенамида фумарат
TBDR,Реестр врожденных дефектов техаса (texas birth defects registry)
TBF,Тканевой кровоток
TC50,Средняя токсическая концентрация
TDAR,Первичный t-клеточный иммунный ответ
TDF,Тенофовир
TDF,Тенофовира дизопроксил фумарат
TDR,Трансмуральная дисперсия реполяризации (transmural dispersion of repolarisation)
TE-PRS,"Пациенты, ранее получавшие лечение"
TEAE,"Нежелательные явления, возникшие во время лечения, нежелательные явления, отсутствовавшие до начала лечения, или уже имеющиеся явления, интенсивность или частота которых ухудшаются после лечения"
TEL,"Translocated ets (e26 transformation-specific) leukemia, транскрипционный фактор трансформации e26, связанный с развитием лейкемии"
TERT,"Теломераза обратная транскриптаза, ген, кодирующий белок (telomerase reverse transcriptase)"
TFPI,"Tissue factor pathway inhibitor, ингибитор пути тканевого фактора"
TFV,Тенофовир
TGA,Австралийская администрация лекарственных средств
TGF,"Transforming growth factor, трансформирующий фактор роста"
TGFβ1,Трансформирующий фактор роста бета (transforming growth factor beta)
TGI,"Tumor growth inhibition, ингибирование опухолевого роста"
TGI,Ингибирование роста опухоли
TIMP,Ингибитор металлопротеиназы
TKI,"Tyrosine kinase inhibitor, ингибитор тирозинкиназы"
TKI,Ингибиторы тирозинкиназы (tyrosine kinase inhibitors)
TLOVR,Время до потери вирусологического ответа
TLR,Toll-подобные рецепторы
TLR4,Толл-подобный рецептор 4
TN,"Пациенты, ранее не получавшие лечения"
TNF,"Tumor necrosis factor, фактор некроза опухоли"
TNF,Фактор некроза опухоли
TNF-α,Фактор некроза опухоли-α (tumour necrosis factor-α)
TPGS,Токоферилполиэтиленгликольсукцинат
TPO,Тромбопоэтин (thrombopoietin)
TPO-R,Рецептор тромбопоэтина (thrombopoietin receptor)
TRKB,"Киназа рецептора тропомиозина b, кодируется геном ntrk2 (tropomyosin receptor kinase)"
TSC,"Tuberosis sclerosis (complex), туберозный склероз"
TTF,Время до неэффективности лечения
TTP,Время до прогрессирования заболевания (time to progression)
TYR03,"Протоонкогенная тирозин-протеинкиназа tyro3, кодируется геном tyro3"
TZD,Тиазолидиндионы
Tg,Трансгенный (transgenic)
Th17,Т-хелперные клетки типа 17
Tlag,Время задержки абсорбции
Tlast,Время отбора последнего биообразца
Tmax,Время достижения максимальной концентрации
Tmax,Время достижения максимальной концентрации (time of maximum concentration)
Tmax,Время достижения максимальной концентрации в плазме крови
Tmax,Время достижения максимальной концентрации вещества в плазме крови
Tmax,Время достижения максимальной концентрации лекарства в плазме
Tmax,Время достижения максимальной концентрации лекарственного вещества
Tmax,Время достижения максимальной концентрации препарата в плазме крови
Tmax,Время достижения максимальной концентрации/активности
Tmax,Время достижения максимальной концентрация в крови
Tp-Te,Время от пика до конца зубца
TyK2,Тирозинкиназа 2 (tyrosine kinase 2)
UACR,Соотношение альбумина и креатинина мочи
UDP-GT,Уридин-5'-дифосфоглюкуронозилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase)
UDPGA,Уридиндифосфат глюкуроновой кислоты
UGE,Экскреция глюкозы с мочой (urinary glucose excretion)
UGT,Udp-глюкуронозилтрансфераза
UGT,Удф-глюкуронозилтрансфераза
UGT,Уридин-5’-дифосфо-глюкуронозилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase
UGT,Уридинглюкуронозилтрансфераза
UGT,Уридиндифосфат-глюкуронозилтрансфераза
UGT,Уридиндифосфатглюкуронилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase)
UGT,Уридиндифосфатглюкуронилтрансфераза (uridine diphosphate glucuronosyltransferase)
UGT1A1,Udp-глюкуронозилтрансфераза 1a1
UGT1A1,Уридин-5-дифосфат глюкуронозил трансфераза 1a1
ULN,Верхняя граница нормы согласно данным испытательной лаборатории
URT,"Unique recombinant forms, уникальные рекомбинантные формы"
UV-LLNA,"Ultra violet local lymph node assay, метод локальных лимфатических узлов при ультрафиолетовом облучении"
V/F,Кажущийся объем распределения
V/F,Объем распределения вещества при внесосудистом введении
V1,Кажущийся объем распределения в центральном компартменте
V2,Кажущийся объем распределения в периферическом компартменте
V2/F,Объем распределения
V2/F,Объем распределения в периферическом компартменте при пероральном приеме
VCAM-1,Молекула адгезии сосудистого эндотелия-1
VEGF,"Vascular endothelial growth factor, фактор роста эндотелия сосудов"
VEGF,Фактор роста эндотелия сосудов (vascular endothelial growth factor)
VEGFR,"Vascular endothelial growth factor receptor, рецептор фактора роста эндотелия сосудов"
VEGFR,Рецептор фактора роста эндотелия сосудов (vascular endothelial growth factor receptor)
VSS,Кажущийся объем распределения
Vc/F,Кажущийся объем распределения в центральном компартменте
Vc/F,Объем центрального распределения
Vd,Гипотетический объем распределения
Vd,Кажущийся объем распределения
Vd,Объем распределения
"Vd,ss/F",Кажущийся объем распределения в равновесном состоянии
Vd/F,Кажущийся объем распределения
Vdss,Объем распределения в равновесном со
Vdss,Объем распределения в равновесном состоянии
