abbreviation,description
PBT,"Стойкие, биоаккумулятивные токсичные вещества"
PCA,Пассивная кожная анафилаксии (passive cutaneous anaphylaxis)
PCSA,Возможно клинически значимое отклонение
PCWG2,Рабочая группа 2 по клиническим исследованиям рака предстательной железы (prostate cancer clinical trials working group 2)
PD-1,Белок запрограммированной гибели клеток-1 (programmed cell death protein-1)
PD-L1,Лиганд запрограммированной смерти-1 (programmed death ligand-1)
PD,Фармакодинамика
ФД,Фармакодинамика
PEP,Первичная конечная точка оценки эффективности и переносимости
PGA,Общая оценка врачом (physician’s global assessment)
PHD,"Prolyl hydroxylase domain (enzyme), (белок) пролилгидроксилазного домена"
PHE,Фенилэфрин
PI3K,Фосфоинозитол-3-киназа (phosphoinositide 3-kinase)
PIB,Пибрентасвир
PIF,Коэффициент фотораздражения
PK,Фармакокинетика
ФК,Фармакокинетика
PKB,"Protein kinase b, протеинкиназа тип в"
PND,Поснатальный день
PPAR-γ,"Рецепторы, активируемые пероксисомными пролифераторами"
PQ,Интервал между волной r и интервал qrs сердечного ритма на электрокардиограмме
PR,Рецепторы прогестерона (progesterone receptor)
PRL,Пролактин (prolactin)
PSADT,Время удвоения простатспецифического антигена
PSS,"Phenotypic susceptibility score, оценка фенотипической восприимчивости"
PTEN,"Фосфатаза с двойной субстратной специфичностью, продукт гена (phosphatase and tensin homolog deleted on chromosome)"
PTLD,Посттрансплантационный лимфопролиферативный синдром
PVR,Легочное сосудистое сопротивление (pulmonary vascular resistance)
PWID,"Субъекты, употребляющих инъекционные наркотики"
PYE,Пациенто-лет воздействия
PgR,Прогестероновый рецептор (progesterone receptor)
PgR+,Позитивная по рецептору прогестерона [опухоль]
Ph,"Philadelphia chromosome, «филадельфийская» хромосома"
Ph+,"Клетки, содержащие филадельфийскую хромосому"
PtGA,Шкала общей оценки пациентом заболевания (patient global assessment of disease)
Ptch1,12-сегментный трансмембранный рецептор patched
QD,Ежедневно
QLQ,Опросник для оценки качества жизни (quality of life questionnaire)
QRS,"Желудочковый комплекс, который регистрируется во время возбуждения желудочков сердца на электрокардиограмме"
QTcB,"Ширина интервала qt, скорректированная по формуле базетта"
QWBA,Количественная авторадиография всего тела
RAL,Ралтегравир
RAP,Популяция анализа резистентности
RAS,Малый g-белок (rat sarcoma virus)
RBC,Эритроцит
RBV,Рибавирин
RDW,Ширина распределения эритроцитов
RF,Ревматоидный фактор
RGS2,Регулятор передачи сигналов g-белка 2
RIF,Рифампин
ROS,"Reactive oxygen species, активные формы кислорода"
ROS1,"Протоонкогенная тирозин-протеинкиназа ros, кодируется геном ros1"
RPV,Рилпивирин
RQ,Дыхательный коэффициент
RSD,"Residual standard deviation, остаточное стандартное отклонение"
RSV,Респираторно-синцитиальный вирус
RTV,Ритонавир
"RTV, r",Ритонавир
RW,Реакция вассермана
Ras,"Retrovirus-associated sarcoma gene, ген, связанный с саркомой, вызываемой ретровирусом у крыс"
RdRp,Рнк-зависимая рнк полимераза
RET,REarranged during Transfection
SALT,Шкала оценки степени тяжести алопеции
SARS-CoV-2,"Новый коронавирус, вызвавший пандемию covid-19"
SCAR,"Severe cutaneous adverse reaction, серьезные кожные нежелательные реакции"
SCF,Фактор стволовых клеток (stem cell factor)
SCID,Тяжелый комбинированный иммунодефицит
SCORE,10-летний абсолютный риск фатальныхсердечно-сосудистых осложнений для лиц в возрасте 40-65 лет (systematic coronary risk evaluation)
SDAI,Упрощенный индекс активности болезни
SDF,Фактор стромальных клеток (stromal cell-derived factor)
SE,Стандартная ошибка
SF-36,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов (short form 36 item)"
SF-36v2,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов версия 2 (short form item 36 version 2)"
SGLT-2,Ингибиторы натрий-глюкозного контранспортера
SGLT1,Натрий-глюкозный котранспортер 1-го типа
SGRQ,Анкета госпиталя святого георга для оценки дыхательной функции (saint george’s respiratory questionnaire)
SJS,Синдром стивенса-джонсона
SLD,Сумма наибольших диаметров
SMO,7-сегментый трансмембранный белок smoothend
SMQ,Стандартизованный запрос по терминам meddra (standardized meddra query)
SNP,Однонуклеотидный полиморфизм
SOD,Супероксиддисмутаза
SOF,Софосбувир
SQV,Саквинавир
SQV/r,Саквинавир/ ритонавир
SSC,Подсчет импульсов в твердой фазе (solid scintillation counting)
STEMI,"St-elevation myocardial infarction, инфаркт миокарда с подъемом сегмента st"
STZ,Стрептозотоцин
SUCRA,Поверхность под кривой совокупного ранжирования (surface under the cumulative ranking)
SVR12,Устойчивый вирусологический ответ через 12 недель после прекращения лечения
SYE,Пациенто-лет применения препарата
Src,Протоонкогенная протеинтирозинкиназа
STAT,Транспортеры сигнала и активаторы транскрипции
T-20,Энфувиртид
T/C,Тест/контроль
T1/2β,Терминальный период полувыведения
TAC,Такролимус
TBDR,Реестр врожденных дефектов техаса (texas birth defects registry)
TBF,Тканевой кровоток
TC50,Средняя токсическая концентрация
TDAR,Первичный t-клеточный иммунный ответ
TDR,Трансмуральная дисперсия реполяризации (transmural dispersion of repolarisation)
TE-PRS,"Пациенты, ранее получавшие лечение"
TEAE,"Нежелательные явления, возникшие во время лечения, нежелательные явления, отсутствовавшие до начала лечения, или уже имеющиеся явления, интенсивность или частота которых ухудшаются после лечения"
TEL,"Translocated ets (e26 transformation-specific) leukemia, транскрипционный фактор трансформации e26, связанный с развитием лейкемии"
TERT,"Теломераза обратная транскриптаза, ген, кодирующий белок (telomerase reverse transcriptase)"
TFPI,"Tissue factor pathway inhibitor, ингибитор пути тканевого фактора"
TFV,Тенофовир
TGA,Австралийская администрация лекарственных средств
TGF,"Transforming growth factor, трансформирующий фактор роста"
TGFβ1,Трансформирующий фактор роста бета (transforming growth factor beta)
TIMP,Ингибитор металлопротеиназы
TLOVR,Время до потери вирусологического ответа
TLR,Toll-подобные рецепторы
TLR4,Толл-подобный рецептор 4
TN,"Пациенты, ранее не получавшие лечения"
TNF-α,Фактор некроза опухоли-α (tumour necrosis factor-α)
TPGS,Токоферилполиэтиленгликольсукцинат
TPO,Тромбопоэтин (thrombopoietin)
TPO-R,Рецептор тромбопоэтина (thrombopoietin receptor)
TRKB,"Киназа рецептора тропомиозина b, кодируется геном ntrk2 (tropomyosin receptor kinase)"
TSC,"Tuberosis sclerosis (complex), туберозный склероз"
TTF,Время до неэффективности лечения
TTP,Время до прогрессирования заболевания (time to progression)
TYR03,"Протоонкогенная тирозин-протеинкиназа tyro3, кодируется геном tyro3"
TZD,Тиазолидиндионы
Tg,Трансгенный (transgenic)
Th17,Т-хелперные клетки типа 17
Tlag,Время задержки абсорбции
Tlast,Время отбора последнего биообразца
Tp-Te,Время от пика до конца зубца
TyK2,Тирозинкиназа 2 (tyrosine kinase 2)
UACR,Соотношение альбумина и креатинина мочи
UDP-GT,Уридин-5'-дифосфоглюкуронозилтрансфераза (uridine 5'-diphospho-glucuronosyltransferase)
UDPGA,Уридиндифосфат глюкуроновой кислоты
UGE,Экскреция глюкозы с мочой (urinary glucose excretion)
ULN,Верхняя граница нормы согласно данным испытательной лаборатории
URT,"Unique recombinant forms, уникальные рекомбинантные формы"
UV-LLNA,"Ultra violet local lymph node assay, метод локальных лимфатических узлов при ультрафиолетовом облучении"
V1,Кажущийся объем распределения в центральном компартменте
V2,Кажущийся объем распределения в периферическом компартменте
VCAM-1,Молекула адгезии сосудистого эндотелия-1
VSS,Кажущийся объем распределения
"Vd,ss/F",Кажущийся объем распределения в равновесном состоянии
Vd/F,Кажущийся объем распределения
Vdβ,Кажущийся объем распределения
Vp/F,Кажущийся объем распределения в периферическом компартменте
Vs.,Против
Vz / Fss,Средний кажущийся объем распределения в равновесном состоянии
Vz/F,"Объем распределения, связанный с терминальной фазой"
WCAW,Неделя хорошо контролируемой астмы (well-controlled asthma week)
WH,[крысы линии] wistar hannover
WHO,Всемирная организация здравоохранения
ВОЗ,Всемирная организация здравоохранения
WMD,Средневзвешенное различие (weighted mean difference)
WPAI-UC,Опросник нарушения трудоспособности и повседневной деятельности (work productivity and activity impairment)
WT,Дикий тип
WU,Единицы вуда (wood units)
ZDF,Крысы с диабетом и ожирением (zucker diabetic fatty rat)
ZDV,Зидовудин
ZF,Тучные крысы цукера
a-SMA,A-гладкомышечный актин
c-Kit,Белковая тирозинкиназа kit
c-Met,"Рецепторная тирозинкиназа, принадлежащую к семейству met (трансформирующий ген mnng hos)"
ddI,Диданозин
dp/dt,Скорость нарастания давления в левом желудочке в ранней фазе систолы
eNOS,Эндотелиальной синтаза оксида азота(endothelial nitric oxide synthase)
e’,Максимальная скорость подъёма основания сердца в раннюю диастолу
fumic,"Фракция, не связанная в микросомах."
gCV,Геометрический коэффициент вариации
hBMNC,Мононуклеарные клетки костного мозга человека (human bone marrow mononuclear cells)
hCES,Рекомбинантные человеческие ферменты-карбоксилэстеразы (human recombinant carboxylesterases)
"hOAT1, hOAT3",Органические переносчики анионов
hOAT3,Транспортер органических анионов человека третьего типа
hPASMC,Клетки гладкой мускулатуры легочной артерии человека (human pulmonary artery smooth muscle cells)
ka,Константа скорости всасывания первого порядка
mRSS,Кожный индекс по роднану
n,Число наблюдений
n-3 ПНЖК,Омега-3 полиненасыщенные жирные кислоты
pEGFR,Phosphorylated Epidermal Growth Factor Receptor (фосфорилированный рецептор эпидермального фактора роста)
pKa,Константа диссоциации
pRb,Retinoblastoma-Associated Protein (белок ретинобластомы)
peg-IFN,Pegylated Interferon Alpha-2b (пегилированный интерферон альфа-2b)
tmax,"Time to Maximum Concentration (время достижения максимальной концентрации): Время, за которое достигается максимальная концентрация лекарственного вещества в плазме крови"
vWF,von Willebrand Factor (фактор фон Виллебранда)
α,Граничная величина ошибки первого рода (уровень значимости)
α1-AGP,Alpha-1-Acid Glycoprotein (α1-кислый гликопротеин)
β,Граничная величина ошибки второго рода
β-NAG,N-Acetylglucosaminidase (N-ацетилглюкозаминидаза)
β-АБ,β-адреноблокаторы
γ-ГТ,Гамма-глутамилтранспептидаза
ГГТ,Гамма-глутамилтранспептидаза
А,Пик скорости фазы систолы предсердий
АА,Апластическая анемия
ААГ,Α1-кислый гликопротеин
ААК1,Ар2-ассоциированная протеинкиназа 1
АБФ,Активированный белок фибробластов
АВС,Активированное время свертывания
АГЗ,Ассоциированное гематологическое заболевание
АГЗ НТК,Ассоциированное клональное гематологическое заболевание не тучных клеток
АГП,Α1-кислый гликопротеин
АДА,Американская диабетическая ассоциация
АДБ,Анемия Даймонда-Блэкфена
АДТ,Андроген депривационная терапия
АЗКЦ,Антителозависимая клеточно-опосредованная цитотоксичность
АКМ,Соотношение экскреции альбумин/креатинин в моче
АКТГ,Адренокортикотропный гормон
АКШ,Аортокоронарное шунтирование
АЛТР,Антагонисты лейкотриеновых рецепторов
АМКР,Антагонисты минералокортикоидных рецепторов
АМЛ,Ангиомиолипома
АМФ,Аденозинмонофосфат
АПФ,Ангиотензинпревращающий фермент
АР,Андрогенный рецептор
АРА,Антагонисты рецепторов ангиотензина II
АРВП,Антиретровирусные препараты
АРМЭ,"Процессы абсорбции, распределения, метаболизма и элиминации"
АРНИ,Ангиотензиновых рецепторов и неприлизина ингибитор
АРТ,Антиретровирусная терапия
АРВТ,Антиретровирусная терапия
АС,Анкилозирующий спондилоартрит
АСА,Активная системная анафилаксия
АСК,Ацетилсалициловая кислота
АСМ,Агрессивный системный мастоцитоз
АСРА,Антитела к циклическому цитруллинсодержащему пептиду
АССЗ,Атеросклеротические сердечно-сосудистые заболевания
AT-III,Antithrombin III (антитромбин III)
AT-II,Angiotensin II (ангиотензин II)
АФП,Альфа-фетопротеин
АФС,Активная фармацевтическая субстанция
АЦ,Аденилатциклаза
АЧН,Абсолютное число нейтрофилов
АЧТВ,Активированное частичное тромбопластиновое время
Алло-ТГСК,Аллогенная трансплантация гемопоэтических стволовых клеток
Анти-HCV,специфические иммуноглобулины классов IgM и IgG к белкам вируса гепатита C
АпоB,Аполипопротеин B
АпоE,Аполипопротеин E
АрГПП-1,Агонисты рецепторов глюкагоноподобного пептида 1
БА,Бронхиальная астма
БАД,Биологически активная добавка
БАЛЖ,Бронхоальвеолярная лаважная жидкость
БИ,Брошюра исследователя
БКК,Блокаторы кальциевых каналов
БКР,Базальноклеточный рак кожи
БЛНПГ,Блокада левой ножки пучка гиса
БМАРП,Болезньмодифицирующие антиревматические препараты
БМО,Большой молекулярный ответ
PFS,Progression-Free Survival (беспрогрессивная выживаемость)
БПВ,Беспрогрессивная выживаемость
БРВ,Безрецидивная выживаемость
БРРМЖ,Белок резистентности рака молочной железы
БСК,Болезни системы кровообращения
БЦО,Большой цитогенетический ответ
В. квартиль,Верхний квартиль
BIKE,"BMP-2 Inducible Kinase (киназа, индуцируемая BMP-2)"
BA,Bioavailability (биодоступность)
ВААРТ,Высокоактивная антиретровирусная терапия
ВАБ,Выборка для анализа безопасности
ВАШ,Визуальная аналоговая шкала
ВБИЗ,Выживаемость без инвазивного заболевания
ВБП(з),Выживаемость без прогрессирования (заболевания)
ВВТТГ,Внутривенный тест толерантности к глюкозе
ВГ,Вирусный гепатит
ВГB,Вирусный гепатит B
ВГC,Вирусный гепатит C
ВГН,Верхняя граница нормы
ВГТТ,Внутривенное болюсное введение глюкозы
ВДПЗ,Время до прогрессирования заболевания
ВЖД,Высокожировая диета
ВЖХ,Высокоэффективная жидкостная хроматография
ВИЧ-1,Вирус иммунодефицита человека типа 1
ВКК,Верхний контроль качества
ВМС,Внутриматочная спираль
ВПЗ,Время до прогрессирования заболевания
ВПЗО,Вторичные первичные злокачественные опуходи
ВПКО,Верхний предел количественного определения
ВПН,Верхний предел нормы
ВС,Внутренний стандарт
ВТЭО,Венозное тромбоэмболическое осложнение
ВЧК,Внутричерепное кровоизлияние
ВЭЖХ-МС,Высокоэффективная жидкостная хроматография с масс-спектрометрией
ВЭЖХ/МС,Высокоэффективная жидкостная хроматография с масс-спектрометрией
ВдО,Время до ответа на лечение
ГАМК,Гамма-аминомасляная кислота
ГГН,Гипоталамо-гипофизарно-надпочечниковая система
ГИБП,Генно-инженерные биологические препараты
ГКС,Глюкокортикостероиды
ГЛФ,Готовая лекарственная форма
ГМ-КСФ,Гранулоцитарно-макрофагальный колониестимулирующий фактор
ГМГ-КоА,3-гидрокси-3-метилглутарил-кофермент А редуктаза
ГПМЦ,Гидроксипропилметилцеллюлоза
ГОСТ,Государственный стандарт
GLP-1R,Glucagon-Like Peptide-1 Receptor (рецептор к глюкагоноподобному пептиду-1)
ГРГ,Гонадотропин-рилизинг-гормон
ГРЛС,Государственный реестр лекарственных средств
ГТ,Генотип
HTG,Hypertriglyceridemia (гипертриглицеридемия)
ГТТ,Глюкозотолерантный тест
ГУ,Гиперурикемия
ГФ,Государственная фармакопея
ГХ,Газовая хроматография
ГЦК,Гепатоцеллюлярная карцинома
ГЦР,Гепатоцеллюлярный рак
ГЭБ,Гематоэнцефалический барьер
ГЭС/ХЭЛ,Гиперэозинофильный синдром/хронический эозинофильный лейкоз
ГнРГ,Гонадотропин-рилизинг гормон
ДАД,Диастолическое артериальное давление
ДАТ,Двойная антиагрегантная терапия
ДБ,День беременности
ДБЛС,Департамент безопасности лекарственных средств
ДВККЛ,Диффузная B-крупноклеточная лимфома
ДГ,День гестации
ДГК,Докозагексаеновая кислота
ДГТ,Дигидротестостерон
ДД,Диастолическая дисфункция
ДДБА,Длительнодействующие β2-агонисты
ДКИ,Доклиническое исследование
ДКТ,Длительная кислородотерапия
ДЛ,День лактации
ДЛП,Дислипидемии
ДЛТ,Дозолимитирующая токсичность
ДМ,Дерматомиозит
ДМСО,Диметилсульфоксид
ДН,Диабетическая нефропатия
ДНК,Дезоксирибонуклеиновая кислота
ДНФ,Динитрофенол
ДО,Длительность ответа
ДПД,Длительность потенциала действия
ДПП,Дипептидилпептидаза
ДПП-4,Дипептидилпептидаза-4
ДРЩЖ,Дифференцированный рак щитовидной железы
ДТ,Диспергируемые таблетки
ДЭ,Депрессивный эпизод
ЕЭС,Евразийский экономический союз
EC50,"Median Effective Concentration (медианная эффективная концентрация): Концентрация вещества, при которой достигается 50% от его максимального эффекта"
ЕЭК,Евразийская экономическая комиссия
Ед,Единицы
ЖА,Желудочковая аритмия
ЖКТ,Желудочно-кишечный тракт
ЖНВЛП,Жизненно необходимые и важнейшие лекарственные препараты
ЖНЛВП,Жизненно необходимые и важнейшие лекарственные препараты
ЖХ-МСМС,Жидкостная хроматография с тандемной масс-спектрометрией
ЖХ/МС/МС,Жидкостная хроматография с тандемной масс-спектрометрией
ЗД,Западная диета
ЗПТ,Заместительная почечная терапия
ЗРУ,Заявление на получение регистрационного удостоверения
ЗСТ,Заболевания соединительной ткани
ИАЛ,Инвазивный аспергиллез легких
ИАПФ,Ингибиторы ангиотензинпревращающего фермента
ИАТ,Ингибирование агрегации тромбоцитов
ИБС,Ишемическая болезнь сердца
ИВЛ,Искусственная вентиляция легких
ИГХ,Иммуногистохимический анализ
ИЗЛ-ССД,Интерстициальные заболевания легких при системной склеродермии
ИИП,Идиопатические интерстициальные пневмонии
ИК,Инфракрасный
ИКН,Ингибиторы кальциневрина
ИЛ,Интерлейкин
ИЛ-6,Интерлейкин 6
ИЛАГ,Идиопатическая легочная артериальная гипертензия
ИЛФ,Идиопатический легочный фиброз
ИМ,Инфаркт миокарда
ИМПП,Инструкция по медицинскому применению препарата
ИМТ,Индекс массы тела
ИМбпST,Инфаркт миокарда без подъема сегмента ST
ИМпST,Инфаркт миокарда с подъемом сегмента ST
ИОТ,Ингибитор обратной транскриптазы
ИПЦИ,Ингибитор переноса цепи интегразы
ИРК,Индивидуальная регистрационная карта
ИСМ,Индолентный системный мастоцитоз
ИСТ,Иммуносупрессивная терапия
ИТП,Иммунная тромбоцитопения
ИФН,Интерферон
ИХТ,Иммунохимиотерапия
п/к,Подкожный путь введения
п/о,Пероральный путь введения
в/в,Внутривенный путь введения
Ингал.,Ингаляционный путь введения
ИЦ,Исследовательский центр
Кel,Константа скорости элиминации
КАК,Клинический анализ крови
КВ,Коэффициент вариации
КГП,Кислотный гликопротеин
КДОЛЖ,Конечно-диастолический объем левого желудочка
КЖ,Качество жизни
КЖП,Канюлирование желчных протоков
КИО,Контрактная исследовательская организация
ККМГ,Каприлокапроилмакроголглицериды
КМ,Кожный мастоцитоз
КМД,Комитет по мониторингу данных
КПА,Кожная пассивная анафилаксия
КРР,Колоректальный рак
КРРПЖ,Кастрационно-резистентный рак предстательной железы
КС,Креатинин сыворотки
КТ,Компьютерная томография
КТВР,Компьютерная томография высокого разрешения
КФД,Комбинация фиксированных доз
ЛС,Лекарственное средство
ЛСР,Лекарственное средство
ЛАГ,Легочная артериальная гипертензия
ЛВП,Липопротеиды высокой плотности
ЛГ,Лютеинизирующий гормон
ЛЖ,Левый желудочек
ЛЖВ,"Люди, живущие с вич"
ЛКМ,Лимфома из клеток мантии
ЛМЗ,Лимфома маргинальной зоны
ЛМЛ,Лимфома из малых лимфоцитов
ЛП,Левое предсердие
ЛПЛ,Липопротеинлипаза
ЛПОНП,Липопротеины очень низкой плотности
ЛПП,Лекарственное поражение печени
ЛПУ,Лечебно-профилактическое учреждение
ЛС,Лекарственное средство
ЛСК,Лиганд-связывающий карман
ЛСР,Лекарственное средство
ЛСС,Легочное сосудистое сопротивление
ЛСЭСП,Лекарственная сыпь с эозинофилией и системных проявлениями
ЛТ,Лучевая терапия
ЛЭК,Локальный этический комитет
МА,Микроальбуминурия
МВ,Макроглобулинемия Вальденстрема
МД,Медицинская дирекция
МДМА,Метилендиоксиметамфетамин
МЕ,Международные единицы
МИК,Минимальная ингибирующая концентрация
МК,Мочевая кислота
МКЛ,Мантийноклеточная лимфомома
МКПК,Мононуклеарные клетки периферической крови
МКТ,Монокроталин
МЛВ,Межлекарственные взаимодействия
МЛЛ,Мелкоклеточная лимфоцитарная лимфома
МЛУ,Множественная лекарственная устойчивость
ММ,Множественная миелома
ММФ,Микофенолата мофетил
МНК,Мононуклеарные клетки
МНО,Международное нормализованное отношение
МО,Молекулярный ответ
МПЗ,Миелопролиферативные заболевания
МПКТ,Минеральная плотность костной ткани
МПН,Миелопролиферативное новообразование
МПО,Максимальный переносимый объем
MPE,Mean Photo Effect (средний фотоэффект)
МРЛ,Местно-распространенный рак
МРТ,Магнитно-резонансная томография
МРЩЖ,Медуллярный рак щитовидной железы
МС,Метаболический синдром
МС НМГ,Международный стандарт низкомолекулярного гепарина
MCP,Monocyte Chemotactic Protein (моноцитарный хемотаксический белок)
МТХ,Метотрексат
МФК,Минимальная фунгицидная концентрация
МЦО,Малый цитогенетический ответ
МЭД,Минимальная эффективная доза
Макс,Максимальное значение
Мин,Минимальное значение
МЗ,Министерство Здравоохранения
МкАТ,Моноклональные антитела
Н. квартиль,Нижний квартиль
H2RA,Histamine-2 Receptor Antagonists (антагонисты гистамин-2-рецепторов)
HbA1c,Glycated Hemoglobin (гликированный гемоглобин)
НАДФН,Никотинамидадениндинуклеотидфосфат
НВЛ,Неинвазивная вентиляция легких
НГЛТ-1,Натрий-глюкозный котранспортер 1-го типа
НИЗиП,Национальное исследование здоровья и питания
НИИ,Научно-исследовательский институт
НКК,Нижний контроль качества
НКУ,Независимое контрольное учреждение
НМ-КРРПЖ,Неметастатический кастрационно-резистентный рак предстательной железы
НМРК,Немеланомный рак кожи
ННК,Независимый наблюдательный комитет
ННР,Непредвиденная нежелательная реакция
НОАК,Новые оральные антикоагулянты
НПВ,Нижняя полая вена
НПКО,Нижний предел количественного определения
НПЭ,Неблагоприятные побочные эффекты
НР,Нежелательная реакция
СНР,Серьезная нежелательная реакция
НС,Нестабильная стенокардия
HCV,Hepatitis C Virus (вирус гепатита C)
НУП,Натрийуретический пептид
НФГ,Нефракционированный гепарин
НХЛ,Неходжкинская лимфома
НЭК,Независимый этический комитет
НЭО,Нейроэндокринные опухоли
НЯ,Нежелательное явление
СНЯ,Серьезное нежелательное явление
НтИОТ,Нуклеотидный ингибитор обратной транскриптазы
ОА,Очаговая алопеция
ОАК,Общий анализ крови
ОАМ,Общий анализ мочи
ОАТ,Переносчик органических анионов
ОАТР,Переносчик органических анионов полипептида
ОВ,Общая выживаемость
ОГЭП,Острый генерализованный экзантематозный пустулез
ОИ,Оппортунистические инфекции
ОИМ,Острый инфаркт миокарда
ОИП,Обычная интерстициальная пневмония
ОКС,Острый коронарный синдром
ОКСбпST,Острый коронарный синдром без подъема сегмента ST
ОКСпST,Острый коронарный синдром с подъемом сегмента ST
ОЛ,Острый лейкоз
ОЛЛУ,Оценке локальных лимфатических узлов
ОМД,Отдел медицинской документации
ОНМК,Острое нарушение мозгового кровообращения
ООО,Общество с ограниченной ответственностью
ОПП,Острое почечное повреждение
ОПСС,Общее периферическое сопротивление сосудов
ОСН,Острая сердечная недостаточность
ОСТ,Переносчик органических катионов
ОТТС,Операция ортотопической трансплантации сердца
ОФВ1,Объем форсированного выдоха за одну секунду
ОФТ,Оптимизированная фоновая терапия
ОХ,Общий холестерин
ОЧО,Общая частота ответа
ОШ,Отношение шансов
EQ5D,European Quality of Life 5-Domain Scale (европейская шкала оценки качества жизни по пяти аспектам)
ПАГ,Парааминогиппуровая кислота
ПВА,Полная выборка анализов
ПВДХ,Поливинилиденхлорид
ПВП,Поливинилпирролидон
ПВТ,Противовирусная терапия
ПВХ,Поливинилхлорид
ПГА2,Простагландин а2
ПГГП,Пероральные гипогликемические препараты
ПГД2,Простагландин д2
ПГО,Полный гематологический ответ
ПГТТ,Пероральный глюкозотолерантный тест
ПД,Потенциал дейтсвия
ПЖ,Поджелудочная железа
ПЗ,Прогрессирование заболевания
ПИН,Потреблители инъекционных наркотиков
ПК,Периферическая кровь
ПКТ,Первичная конечная точка
ПЛЛ,Пациенто-лет лечения
ПМЛ,Прогрессирующая множественная лейкоэнцефалопатия
ПМО,Полный молекулярный ответ
ПМТ,Прибавка массы тела
ПМФ,Первичный миелофиброз
ПНЖК,Полиненасыщенные жирные кислоты
ПНМК,Переходящее нарушение мозгового кровообращения
ПОЛ,Перекисное окисление липидов
ППГ,Глюкоза в плазме крови после приема пищи
ППД,Препарат прямого действия
ПППД,Противовирусные препараты прямого действия
ППТ,Площадь поверхности тела
ПР,Полная ремиссия
ПСВ,Пиковая скорость выдоха
ПСМ,Производные сульфонилмочевины
ПССП,Пероральные сахароснижающие препараты
ПТ,Протромбиновое время
ПТИ,Протромбиновый индекс
ПТТГ,Пероральный тест толерантности к глюкозе
ПХТ,Полихимиотерапия
ПЦО,Полный цитогенетический ответ
ПЦР-РВ,Реакция полимеразной цепной реакции в реальном времени
ПЭ,Полный эффект
ПЭГ,Полиэтиленгликоль
ПЭП,Противоэпилептические препараты
Пост-ИП МФ,Постполицитемический миелофиброз
РА,Ревматоидный артрит
РААС,Ренин-ангиотензин-альдостероновая система
РБВ,Рибавирин
РГЛГ,Рилизинг-гормон лютеинизирующего гормона
РЙТ,Радиойодтерапия
РМЖ,Рак молочной железы
РН,Радикальная нефрэктомия
РНК,Рибонуклеиновая кислота
РНЛ,Ранее не леченный
РПЖ,Рак предстательной железы
РТМ,Рак тела матки
РТПХ,Реакция «трансплантат против хозяина»
PTX3,Pentraxin-3 (пентраксин-3)
РУ,Регистрационное удостоверение
РЩЖ,Рак щитовидной железы
РЭ,Рак эндометрия
C0,Initial Drug Concentration (начальная концентрация лекарственного препарата в крови)
CL,"Clearance (клиренс): Показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
CYP,Cytochrome P450 (Цитохром P450)
Cmax,"Maximum Concentration (максимальная концентрация): Наибольшая концентрация лекарственного вещества, достигаемая в плазме крови"
САГК,Суберанилогидроксамовая кислота
САР,Снижение абсолютных рисков
САС,Симпатоадреналовая система
СБН,Стимуляция блуждающего нерва
СГ,Спонтанная гипертензия
СД,Сахарный диабет
СД 2,Сахарный диабет 2 типа
СД1,Сахарный диабет 1 типа
СД2Т,Сахарный диабет 2 типа
СЖК,Свободные жирные кислоты
СЖП,Содержание железа в печени
СЗ,Стабилизация заболевания
СЗОЭ,Синдром задней обратимой энцефалопатии
СКВ,Системная красная волчанка
СКК,Средний контроль качества
СКФ,Скорость клубочковой фильтрации
СМ-АГН,Системный мастоцитоз с ассоциированным гематологическим новообразованием
СМЖ,Спинномозговая жидкость
СН,Сердечная недостаточность
СН-нФВ,Сердечная недостаточность с низкой фракцией выброса
СННР,Серьезная непредвиденная нежелательная реакция
СНсСФВ,Сердечная недостаточность с сохраненной фракцией выброса
СОАС,Синдром обструктивного апноэ сна
СОД,Суммарная доза облучения
СОР,Снижение относительных рисков
СОЭ,Скорость оседания эритроцитов
СП,Санитарные правила
CPAP,Continuous Positive Airway Pressure (терапия постоянным положительным давлением в дыхательных путях)
CРБ,C-реактивный белок
СС,Системный склероз
CCL19,CC Motif Chemokine Ligand 19 (лиганд 19 хемокина с мотивом CC)
ССД,Синдром Стивенса-Джонсона
ССЗ,Сердечно-сосудистые заболевания
ССЗОА,"Сердечно-сосудистое заболевание, обусловленное атеросклерозом"
ССИ,Скорость секреции инсулина
ССО,Сердечно-сосудистые осложнения
ССП,Сахароснижающие препараты
СТ,Стабилизация
СТК,Саркома тучных клеток
СТО,Стандартный образец
СЧР,Совокупная частота рецидивов
SEGA,Subependymal Giant Cell Astrocytoma (субэпендимальная гигантоклеточная астроцитома)
СЭГА,Cубэпендимальная гигантоклеточная астроцитома
T1/2,"Half-life (период полувыведения): Время, за которое концентрация вещества в плазме крови уменьшается на 50%"
Tmax,"Time to Maximum Concentration (время достижения максимальной концентрации): Время, за которое достигается максимальная концентрация лекарственного вещества в плазме крови"
ТАА,Тяжелая апластическая анемия
ТБ,Туберкулез
ТВ,Тромбиновое время
ТГ,Триглицериды
ТГВ,Тромбоз глубоких вен
ТГСК,Трансплантация гемопоэтических стволовых клеток
